zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools,Earning,neighborhood_avg_amount
11118859,Santa Clarita,Los Angeles,3,3,3,1928,6848,34.433174,-118.54643,1989,527672,91354,1,1,2,4,1,83554,368751.36363636365
11118959,Santa Clarita,Los Angeles,3,3,3,1548,5583,34.437003000000004,-118.546679,1990,275109,91354,1,1,2,4,0,83554,431379.75
11119082,Santa Clarita,Los Angeles,2,2,2,1355,7999,34.433309,-118.550294,1989,383072,91354,1,1,2,4,1,83554,376930.7272727273
11119720,Santa Clarita,Los Angeles,3,4,3,2508,8368,34.440699,-118.53986200000001,1994,489813,91354,1,1,2,4,1,83554,269885.6
11119843,Santa Clarita,Los Angeles,3,3,3,1714,129992,34.431174,-118.54886499999999,1996,443690,91354,1,1,2,4,0,83554,410458.5333333333
11119943,Santa Clarita,Los Angeles,3,2,3,1106,5903,34.4295,-118.55,1995,208921,91354,1,1,2,4,0,83554,410033.5
11121609,Santa Clarita,Los Angeles,2,3,2,1526,6688,34.456595,-118.499417,1978,404000,91350,1,1,2,4,0,83554,338086.44444444444
11122047,Santa Clarita,Los Angeles,3,4,3,2566,40122,34.445258,-118.49646200000001,1984,383957,91350,1,1,2,4,0,83554,401861.0
11122147,Santa Clarita,Los Angeles,3,4,3,2070,12220,34.446073999999996,-118.502389,1986,489000,91350,1,1,2,4,0,83554,329785.1666666667
11122316,Santa Clarita,Los Angeles,3,4,3,2240,6678,34.447151,-118.490379,1983,384226,91350,1,1,2,4,0,83554,334242.5
11122339,Santa Clarita,Los Angeles,2,3,2,1194,7866,34.438183,-118.485747,1984,216206,91351,1,1,2,4,0,83554,235756.25
11122439,Santa Clarita,Los Angeles,2,3,2,1428,9928,34.440165,-118.483442,1984,335789,91351,1,1,2,4,0,83554,298144.8
11127413,Los Angeles,Los Angeles,4,4,4,3424,12466,34.297102,-118.547478,1966,746201,96356,1,1,2,4,1,52024,514149.0
11127513,Los Angeles,Los Angeles,3,4,3,2366,9513,34.297609,-118.54228799999999,1966,128264,96356,1,1,2,4,0,52024,295874.3333333333
11128812,Los Angeles,Los Angeles,3,3,3,1598,362718,34.2749,-118.55,1980,446000,96356,1,1,2,4,1,52024,393380.45454545453
11128912,Los Angeles,Los Angeles,3,2,3,1282,314954,34.2739,-118.55,1983,348581,96356,1,1,2,4,1,52024,387006.55555555556
11129135,Los Angeles,Los Angeles,3,5,3,2494,8698,34.281919,-118.55024499999999,1974,147903,96356,1,1,2,4,0,52024,378963.625
11129235,Los Angeles,Los Angeles,3,4,3,2301,10470,34.280352,-118.54846299999998,1974,510247,96356,1,1,2,4,1,52024,440437.75
11129335,Los Angeles,Los Angeles,3,4,3,2301,11327,34.279011,-118.549527,1975,429197,96356,1,1,2,4,1,52024,443901.0
11129435,Santa Clarita,Los Angeles,2,3,2,1263,5956,34.45813,-118.53429799999999,1977,166254,91354,1,1,2,7,0,83554,265699.64705882355
11129481,Santa Clarita,Los Angeles,3,3,3,1733,7082,34.458872,-118.53573200000001,1983,323682,91354,1,1,2,7,0,83554,258418.57142857142
11129581,Santa Clarita,Los Angeles,2,3,2,1263,9700,34.457181,-118.53876299999999,1983,399000,91354,1,1,2,7,0,83554,381604.3076923077
11129781,Santa Clarita,Los Angeles,2,4,2,1624,6047,34.455077,-118.536064,1979,164407,91354,1,1,2,7,0,83554,303141.06666666665
11129904,Santa Clarita,Los Angeles,2,4,2,1624,6597,34.452251000000004,-118.53900300000001,1978,357108,91354,1,1,2,7,0,83554,324411.9285714286
11130004,Santa Clarita,Los Angeles,2,3,2,1263,5738,34.452181,-118.53571399999998,1978,352720,91354,1,1,2,7,0,83554,272291.85714285716
11130142,Santa Clarita,Los Angeles,2,3,2,1500,7993,34.366575,-118.55408899999999,1966,443691,96352,1,0,2,7,0,83554,260081.66666666666
11130365,Santa Clarita,Los Angeles,3,4,3,2288,11249,34.365578,-118.54806799999999,1979,282434,96352,1,1,2,4,0,83554,465375.5
11130464,Santa Clarita,Los Angeles,3,3,3,1278,109001,34.377633,-118.56045800000001,1979,212132,96352,1,1,2,4,0,83554,277378.77777777775
11130487,Santa Clarita,Los Angeles,2,2,2,988,398589,34.377309000000004,-118.558682,1966,175890,96352,1,1,2,7,1,83554,271710.2727272727
11130587,Santa Clarita,Los Angeles,1,1,1,827,398589,34.376457,-118.55724599999999,1966,178020,96352,1,1,2,7,0,83554,254408.81818181818
11130656,Santa Clarita,Los Angeles,2,3,2,2040,6655,34.376238,-118.560546,1976,226794,96352,1,1,2,7,0,83554,230926.125
11137387,Santa Clarita,Los Angeles,3,4,3,3699,108010,34.367907,-118.531201,1964,1208347,96352,1,0,20,4,1,83554,626506.4
11137433,Santa Clarita,Los Angeles,2,3,2,1600,9763,34.370672,-118.53218500000001,1961,557380,96352,1,0,2,7,0,83554,532661.6666666666
11137479,Santa Clarita,Los Angeles,3,4,3,1929,12072,34.369651,-118.534454,1958,496422,96352,1,0,2,4,1,83554,516369.375
11137899,Santa Clarita,Los Angeles,4,3,4,3140,6731,34.359313,-118.54019199999999,1984,574574,96352,1,1,2,4,1,83554,480796.6
11137922,Santa Clarita,Los Angeles,3,4,3,2930,15781,34.359833,-118.540056,1984,452538,96352,1,1,2,4,0,83554,480796.6
11137945,Santa Clarita,Los Angeles,3,4,3,3059,11042,34.364708,-118.543351,1987,618000,96352,1,1,2,4,1,83554,487431.6666666667
11137968,Santa Clarita,Los Angeles,5,4,5,3757,8044,34.365099,-118.543328,1987,606769,96352,1,1,2,4,0,83554,487431.6666666667
11139026,Santa Clarita,Los Angeles,3,4,3,3409,9239,34.376523,-118.543667,1989,382273,96352,1,1,2,4,0,83554,294005.7
11139217,Santa Clarita,Los Angeles,3,3,3,2540,12592,34.373319,-118.53461000000001,1960,394535,96352,1,0,2,7,0,83554,372867.375
11139469,Santa Clarita,Los Angeles,2,2,2,1606,8522,34.372976,-118.54184099999999,1976,316323,96352,1,1,2,4,0,83554,326286.8888888889
11139891,Santa Clarita,Los Angeles,2,3,2,2816,19525,34.371285,-118.534727,1934,472570,96352,1,1,2,4,1,83554,465698.44444444444
11140216,Santa Clarita,Los Angeles,2,4,2,1716,4687,34.378747,-118.52343400000001,1998,124248,96352,1,0,2,4,0,83554,124248.0
11140527,Santa Clarita,Los Angeles,3,3,3,2138,22545,34.383265,-118.51603600000001,1964,586076,96352,1,1,2,4,1,83554,586076.0
11140740,Santa Clarita,Los Angeles,3,3,3,1265,181847,34.3687,-118.51,1984,176769,96352,1,1,2,7,1,83554,304479.3333333333
11141250,Santa Clarita,Los Angeles,2,2,2,888,132272,34.3781,-118.51100000000001,1990,215500,96352,1,1,2,4,0,83554,128280.16666666667
11142135,Santa Clarita,Los Angeles,3,4,3,2747,111446,34.390528,-118.524386,1980,724966,96352,1,1,2,4,0,83554,820083.0
11143129,Santa Clarita,Los Angeles,2,2,2,925,231200,34.402763,-118.48361100000001,1984,287531,96352,1,1,2,4,1,83554,277542.73333333334
11143252,Santa Clarita,Los Angeles,2,2,2,1419,516746,34.404499,-118.486053,1985,326393,96352,1,1,2,4,1,83554,319505.375
11143500,Santa Clarita,Los Angeles,3,3,3,1466,426781,34.406612,-118.485933,1993,355487,91351,1,1,2,4,0,83554,322291.85714285716
11143523,Santa Clarita,Los Angeles,3,4,3,1882,462910,34.417227000000004,-118.48725300000001,1986,249061,91351,1,1,2,4,0,83554,227091.3125
11143623,Santa Clarita,Los Angeles,3,3,3,1471,200375,34.416109999999996,-118.483558,1988,300888,91351,1,1,2,4,0,83554,283493.875
11143723,Santa Clarita,Los Angeles,3,4,3,1882,453252,34.414221999999995,-118.482891,1985,297132,91351,1,1,2,4,1,83554,289951.5
11144269,Santa Clarita,Los Angeles,2,2,2,907,815788,34.4209,-118.48899999999999,1988,224000,91351,1,1,2,4,0,83554,195016.2857142857
11144392,Santa Clarita,Los Angeles,2,2,2,910,815788,34.4209,-118.48899999999999,1988,219919,91351,1,1,2,4,0,83554,195016.2857142857
11144515,Santa Clarita,Los Angeles,2,3,2,964,532639,34.4184,-118.48899999999999,1988,130636,91351,1,1,2,4,1,83554,210627.23076923078
11144615,Santa Clarita,Los Angeles,2,2,2,910,532639,34.4184,-118.48899999999999,1986,145330,91351,1,1,2,4,0,83554,210627.23076923078
11144684,Santa Clarita,Los Angeles,3,3,3,1635,7857,34.402515,-118.53111799999999,1986,339657,91350,1,1,2,4,0,83554,371513.85714285716
11144784,Santa Clarita,Los Angeles,3,3,3,1635,9435,34.401016,-118.531902,1987,507700,91350,1,1,2,4,0,83554,419156.4285714286
11144853,Santa Clarita,Los Angeles,3,4,3,1877,6168,34.400707000000004,-118.526823,1987,321502,91350,1,1,2,4,1,83554,356005.8
11144976,Santa Clarita,Los Angeles,3,3,3,1505,3418,34.398920000000004,-118.47785800000001,1988,307289,96352,1,1,2,4,0,83554,296995.0833333333
11145337,Santa Clarita,Los Angeles,2,3,2,970,236712,34.3983,-118.48200000000001,1989,247000,96352,1,1,2,4,0,83554,293262.8
11145414,Santa Clarita,Los Angeles,2,2,2,964,461495,34.4168,-118.491,1987,218274,91351,1,1,2,4,0,83554,207687.83333333334
11145514,Santa Clarita,Los Angeles,2,3,2,994,461495,34.4168,-118.491,1989,154726,91351,1,1,2,4,0,83554,207687.83333333334
11146618,Santa Clarita,Los Angeles,2,3,2,1572,6857,34.435901,-118.404738,1968,161428,96401,1,1,2,7,1,83554,319291.28571428574
11146864,Santa Clarita,Los Angeles,3,4,3,2176,7037,34.43189,-118.40400700000001,1968,470900,96401,1,1,2,7,0,83554,302697.8888888889
11146987,Santa Clarita,Los Angeles,3,4,3,1601,297252,34.429086,-118.41350200000001,1982,284612,96401,1,1,2,4,0,83554,280654.6666666667
11147110,Santa Clarita,Los Angeles,3,3,3,1838,392023,34.430554,-118.4115,1983,273803,96401,1,1,2,4,0,83554,287528.6666666667
11147210,Santa Clarita,Los Angeles,2,3,2,944,335575,34.431093,-118.407997,1983,217216,96401,1,1,2,4,0,83554,323772.53846153844
11147379,Santa Clarita,Los Angeles,3,4,3,1911,157951,34.435082,-118.40603600000001,1988,312505,96401,1,1,2,4,0,83554,308803.2
11147899,Santa Clarita,Los Angeles,2,3,2,1125,130137,34.424471000000004,-118.426441,1980,320000,96401,1,1,2,4,0,83554,258712.33333333334
11147991,Santa Clarita,Los Angeles,3,5,3,2354,8778,34.428207,-118.427825,1969,249050,96401,1,1,2,7,0,83554,256123.3
11148264,Santa Clarita,Los Angeles,2,3,2,1479,12067,34.430712,-118.42666200000001,1966,141308,96401,1,1,2,7,0,83554,282487.6666666667
11148633,Santa Clarita,Los Angeles,3,4,3,2217,20203,34.42696,-118.432878,1980,353541,96401,1,1,2,4,1,83554,338824.6666666667
11148733,Santa Clarita,Los Angeles,2,3,2,1348,66799,34.43329,-118.42888,1984,275810,96401,1,1,2,7,1,83554,284648.0
11152532,Santa Clarita,Los Angeles,2,4,2,1400,10319,34.400644,-118.469283,1965,147591,96352,1,0,2,7,0,83554,201593.04347826086
11152724,Santa Clarita,Los Angeles,2,3,2,1192,7429,34.395152,-118.46963600000001,1966,252924,96352,1,0,2,7,0,83554,250294.0
11152816,Santa Clarita,Los Angeles,3,4,3,1844,11649,34.396196,-118.47144499999999,1966,151677,96352,1,1,2,4,0,83554,269550.8888888889
11153008,Santa Clarita,Los Angeles,3,5,3,1862,9716,34.392813000000004,-118.47767900000001,1968,325439,96352,1,0,2,7,1,83554,390000.5
11153115,Santa Clarita,Los Angeles,3,3,3,1132,125129,34.4021,-118.464,1992,209143,96352,1,1,2,7,0,83554,246857.0
11153215,Santa Clarita,Los Angeles,3,3,3,1176,112113,34.4022,-118.46700000000001,1990,172440,96352,1,1,2,7,1,83554,220776.0588235294
11153537,Santa Clarita,Los Angeles,3,3,3,1176,111062,34.4035,-118.46700000000001,1990,285594,96352,1,1,2,7,1,83554,195092.72222222222
11154037,Santa Clarita,Los Angeles,3,3,3,1268,91867,34.4151,-118.446,1984,153907,96401,1,1,2,7,1,83554,220119.42857142858
11154481,Santa Clarita,Los Angeles,2,3,2,1556,8697,34.4217,-118.434605,1970,266625,96401,1,1,2,7,0,83554,327273.5
11154595,Santa Clarita,Los Angeles,3,4,3,2151,11293,34.422477,-118.43945900000001,1985,515000,96401,1,1,2,4,1,83554,356522.0
11154818,Santa Clarita,Los Angeles,2,2,2,848,125051,34.4224,-118.449,1984,200000,96401,1,1,2,7,1,83554,151130.45454545456
11155418,Santa Clarita,Los Angeles,3,3,3,1521,111809,34.4151,-118.447,1984,270000,96401,1,1,2,7,1,83554,210701.875
11155518,Santa Clarita,Los Angeles,3,2,3,1127,119805,34.415,-118.449,1985,141087,96401,1,1,2,7,1,83554,186644.42857142858
11156078,Santa Clarita,Los Angeles,2,2,2,1085,55080,34.4063,-118.45200000000001,1993,181218,96401,1,1,2,7,0,83554,222644.8
11157205,Santa Clarita,Los Angeles,5,5,5,4210,93204,34.394303,-118.409249,1981,1100400,96401,1,1,2,1,1,83554,1100400.0
11157771,Santa Clarita,Los Angeles,3,4,3,2211,7693,34.442614,-118.507951,1971,292080,91350,1,1,2,7,0,83554,272959.8888888889
11157863,Santa Clarita,Los Angeles,2,3,2,1546,3812,34.442690999999996,-118.509611,1971,380000,91350,1,0,2,7,0,83554,244190.57142857142
11158231,Santa Clarita,Los Angeles,2,3,2,1188,5965,34.430655,-118.52999799999999,1963,155361,91350,1,0,2,7,0,83554,277634.2
11159747,Santa Clarita,Los Angeles,2,2,2,1041,676029,34.3893,-118.56200000000001,1971,175807,96378,1,1,2,4,0,83554,222643.88888888888
11159847,Santa Clarita,Los Angeles,1,1,1,722,676029,34.3893,-118.56200000000001,1977,158095,96378,1,1,2,4,0,83554,222643.88888888888
11159947,Santa Clarita,Los Angeles,2,2,2,1054,2176,34.390032,-118.559352,1975,327000,96378,1,1,2,4,0,83554,221419.83333333334
11160223,Santa Clarita,Los Angeles,3,5,3,2807,51591,34.382159,-118.557305,1977,305801,96378,1,1,2,4,1,83554,373896.22222222225
11160505,Santa Clarita,Los Angeles,2,3,2,1156,8489,34.456677,-118.388222,1974,167611,96401,1,1,2,7,1,83554,209331.66666666666
11160780,Santa Clarita,Los Angeles,2,3,2,1342,7760,34.441932,-118.38886399999998,1996,250174,96401,1,1,2,4,0,83554,334821.5333333333
11160872,Santa Clarita,Los Angeles,2,3,2,1043,8567,34.443408000000005,-118.392597,1969,173787,96401,1,0,2,7,0,83554,319731.5
11160972,Santa Clarita,Los Angeles,2,4,2,1681,7215,34.445547,-118.396574,1970,368212,96401,1,0,2,7,0,83554,338038.28571428574
11161095,Santa Clarita,Los Angeles,2,4,2,1635,7196,34.445456,-118.39201100000001,1969,448280,96401,1,1,2,7,1,83554,323227.5625
11161202,Santa Clarita,Los Angeles,2,4,2,1362,7335,34.446705,-118.389857,1973,382000,96401,1,0,2,7,0,83554,327625.5
11161225,Santa Clarita,Los Angeles,2,3,2,1201,6705,34.449298,-118.388979,1978,295353,96401,1,1,2,7,0,83554,328924.14285714284
11161663,Santa Clarita,Los Angeles,3,4,3,2450,8562,34.449812,-118.394426,1989,368745,96401,1,1,2,4,0,83554,350427.1666666667
11161763,Santa Clarita,Los Angeles,3,3,3,1828,5152,34.443803,-118.38876100000002,1992,442000,96401,1,1,2,4,1,83554,320651.4166666667
11161909,Santa Clarita,Los Angeles,3,4,3,2363,6077,34.439149,-118.386182,1996,396010,96401,1,1,2,4,1,83554,400108.5714285714
11161955,Santa Clarita,Los Angeles,3,4,3,2104,15517,34.441973,-118.383404,1997,375816,96401,1,1,2,4,0,83554,445150.5714285714
11162101,Santa Clarita,Los Angeles,3,5,3,2292,26948,34.435289000000004,-118.38143000000001,1998,425375,96401,1,1,2,4,0,83554,436851.0
11162865,Santa Clarita,Los Angeles,2,4,2,1783,6154,34.388737,-118.53714099999999,1954,316295,96352,1,0,7,7,0,83554,210154.5
11163046,Santa Clarita,Los Angeles,2,3,2,1036,5539,34.38428,-118.534655,1932,293150,96352,2,0,2,7,0,83554,177011.33333333334
11163183,Santa Clarita,Los Angeles,1,2,1,1144,7387,34.381755,-118.5361,1956,228143,96352,1,0,7,7,0,83554,265117.0
11163942,Santa Clarita,Los Angeles,2,3,2,1429,5782,34.387033,-118.54547600000001,1968,294623,96378,1,1,2,7,0,83554,364137.5
11164241,Santa Clarita,Los Angeles,3,5,3,2327,6694,34.385932000000004,-118.55554599999999,1968,555888,96378,1,1,2,4,1,83554,360921.75
11164571,Santa Clarita,Los Angeles,2,4,2,1743,6419,34.381133,-118.554625,1968,338508,96378,1,1,2,7,0,83554,339508.25
11164694,Santa Clarita,Los Angeles,2,3,2,1769,5815,34.388307,-118.55015,1972,393327,96378,1,1,2,4,0,83554,415241.0
11164840,Santa Clarita,Los Angeles,2,3,2,1196,4931,34.393443,-118.557101,1976,365165,96378,1,1,2,7,0,83554,274949.0
11165032,Santa Clarita,Los Angeles,4,6,4,2320,5763,34.392876,-118.552576,1969,175734,96378,1,1,2,4,0,83554,323142.73333333334
11165055,Santa Clarita,Los Angeles,3,4,3,2225,5729,34.391884000000005,-118.55100800000001,1973,550000,96378,1,1,2,4,0,83554,357926.06666666665
11165224,Santa Clarita,Los Angeles,3,4,3,2354,6483,34.389767,-118.55283200000001,1975,367984,96378,1,1,2,4,1,83554,402309.35714285716
11165247,Santa Clarita,Los Angeles,3,3,3,2246,6180,34.389113,-118.555567,1976,166167,96378,1,1,2,4,1,83554,349944.6
11165393,Santa Clarita,Los Angeles,2,3,2,1051,4806,34.392786,-118.558594,1976,313429,96378,1,1,2,7,0,83554,224174.41666666666
11165653,Santa Clarita,Los Angeles,2,3,2,1514,6344,34.393843,-118.549146,1974,227966,96378,1,1,2,7,0,83554,318437.9090909091
11165799,Santa Clarita,Los Angeles,2,3,2,1514,5643,34.394365,-118.547701,1971,271013,96378,1,1,2,7,1,83554,328323.0
11166160,Santa Clarita,Los Angeles,2,2,2,1426,5689,34.398759999999996,-118.54276599999999,1974,71271,96378,1,1,2,7,0,83554,289759.0
