zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools,Earning
11102746,Santa Clarita,Los Angeles,2,4,2,1420,6049,34.434673,-118.475693,1964,225846,91351,1,0,2,7,0,83554
11102846,Santa Clarita,Los Angeles,2,3,2,1240,10224,34.43671,-118.480452,1964,339825,91351,1,0,2,7,0,83554
11102946,Santa Clarita,Los Angeles,2,3,2,1287,6557,34.435014,-118.482984,1964,153033,91351,1,0,2,7,0,83554
11103069,Santa Clarita,Los Angeles,2,4,2,1374,6010,34.434171,-118.476034,1962,215779,91351,1,0,2,7,0,83554
11103092,Santa Clarita,Los Angeles,2,3,2,1238,6209,34.433597,-118.478751,1963,364000,91351,1,0,2,7,0,83554
11103192,Santa Clarita,Los Angeles,3,4,3,2166,6424,34.434583,-118.490995,1988,359364,91351,1,1,2,4,1,83554
11104095,Santa Clarita,Los Angeles,2,4,2,1628,8650,34.430655,-118.465172,1967,282088,91351,1,0,2,7,1,83554
11104195,Santa Clarita,Los Angeles,2,4,2,1628,7220,34.433466,-118.465694,1968,292626,91351,1,1,2,7,1,83554
11104364,Santa Clarita,Los Angeles,2,3,2,1270,4656,34.434433,-118.472733,1984,292627,91351,1,1,2,4,0,83554
11104553,Santa Clarita,Los Angeles,2,4,2,1144,6502,34.423165,-118.473597,1961,187851,91351,1,0,2,7,0,83554
11104968,Santa Clarita,Los Angeles,2,4,2,1144,5776,34.418194,-118.468583,1961,259293,91351,1,0,2,7,0,83554
11105214,Santa Clarita,Los Angeles,2,4,2,1269,7087,34.423729,-118.461752,1963,191812,91351,1,0,2,7,1,83554
11105591,Santa Clarita,Los Angeles,2,2,2,795,312806,34.421,-118.455,1987,144990,91351,1,1,2,4,1,83554
11106019,Santa Clarita,Los Angeles,2,2,2,1114,843582,34.4136,-118.467,1981,225000,91351,1,1,2,7,0,83554
11106165,Santa Clarita,Los Angeles,3,3,3,2526,37887,34.41975,-118.459526,1988,338016,91351,1,1,2,4,0,83554
11106530,Santa Clarita,Los Angeles,1,1,1,635,188585,34.4133,-118.463,1984,100418,91351,1,1,2,7,1,83554
11107231,Santa Clarita,Los Angeles,2,4,2,1694,7050,34.42793,-118.476892,1965,365167,91351,1,0,2,7,0,83554
11107500,Santa Clarita,Los Angeles,2,5,2,1809,6102,34.424057,-118.476109,1965,265126,91351,1,0,2,7,0,83554
11107569,Santa Clarita,Los Angeles,3,4,3,1889,7537,34.423179,-118.479347,1966,274942,91351,1,1,2,7,0,83554
11107592,Santa Clarita,Los Angeles,2,4,2,1642,5980,34.423157,-118.475129,1966,238205,91351,1,0,2,7,0,83554
11107715,Santa Clarita,Los Angeles,2,3,2,1300,6663,34.420822,-118.476453,1966,226723,91351,1,1,2,7,0,83554
11107838,Santa Clarita,Los Angeles,2,3,2,1430,7121,34.456132,-118.531347,1988,330008,91350,1,1,2,4,1,83554
11107961,Santa Clarita,Los Angeles,2,3,2,1787,7655,34.452658,-118.532888,1959,254704,91350,1,1,2,7,0,83554
11108061,Santa Clarita,Los Angeles,3,4,3,1718,6182,34.452307,-118.525166,1988,469000,91350,1,1,2,4,0,83554
11108184,Santa Clarita,Los Angeles,2,3,2,1230,6777,34.447119,-118.533117,1957,275180,91350,1,0,2,7,1,83554
11108384,Santa Clarita,Los Angeles,1,2,1,842,13898,34.44063,-118.532605,1950,84559,91350,1,0,7,7,0,83554
11108430,Santa Clarita,Los Angeles,2,4,2,1260,12044,34.440546,-118.526099,1973,283218,91350,1,1,2,7,1,83554
11108722,Santa Clarita,Los Angeles,2,4,2,1654,15904,34.446177,-118.529446,1980,334944,91350,1,1,2,7,0,83554
11108968,Santa Clarita,Los Angeles,3,3,3,1672,8457,34.444774,-118.519607,1989,391909,91350,1,1,2,4,0,83554
11109137,Santa Clarita,Los Angeles,3,3,3,2255,11981,34.439683,-118.530996,1953,371931,91350,1,1,2,4,1,83554
11109552,Santa Clarita,Los Angeles,2,3,2,1188,6439,34.436558,-118.521986,1964,50742,91350,1,0,2,7,0,83554
11110220,Santa Clarita,Los Angeles,2,3,2,1418,7576,34.450969,-118.504145,1966,282176,91350,1,0,2,7,0,83554
11110343,Santa Clarita,Los Angeles,2,4,2,1604,7376,34.451989,-118.500851,1966,157020,91350,1,0,2,7,0,83554
11110735,Santa Clarita,Los Angeles,1,2,1,834,125560,34.452462,-118.49666,1976,196000,91350,1,1,2,7,0,83554
11110835,Santa Clarita,Los Angeles,1,2,1,834,148023,34.450903,-118.498391,1977,91164,91350,1,1,2,7,0,83554
11110965,Santa Clarita,Los Angeles,2,3,2,2014,3614,34.439279,-118.534265,1975,274384,91354,1,1,2,7,0,83554
11111065,Santa Clarita,Los Angeles,3,3,3,2032,3743,34.440588,-118.533776,1975,255954,91354,1,1,2,7,0,83554
11111357,Santa Clarita,Los Angeles,2,3,2,1319,8653,34.437717,-118.537972,1978,126106,91354,1,1,2,7,0,83554
11112415,Santa Clarita,Los Angeles,3,4,3,1788,4742,34.448888,-118.551623,1996,509000,91354,1,1,2,4,0,83554
11112538,Santa Clarita,Los Angeles,3,3,3,1260,21251,34.449962,-118.554519,1995,360000,91354,1,1,2,4,0,83554
11113058,Santa Clarita,Los Angeles,3,4,3,2288,5117,34.451206,-118.542237,1996,396301,91354,1,1,2,4,1,83554
11113150,Santa Clarita,Los Angeles,4,5,4,2937,5550,34.458954,-118.543103,1997,520265,91354,1,1,2,4,0,83554
11113196,Santa Clarita,Los Angeles,4,5,4,2979,5061,34.455197,-118.541674,1997,452373,91354,1,1,2,4,0,83554
11118316,Santa Clarita,Los Angeles,2,4,2,1637,9388,34.436338,-118.535442,1973,223652,91354,1,1,2,7,1,83554
11118659,Santa Clarita,Los Angeles,3,3,3,1588,6889,34.433601,-118.552887,1989,503300,91354,1,1,2,4,1,83554
11118759,Santa Clarita,Los Angeles,2,2,2,1445,6959,34.436747,-118.553671,1992,399749,91354,1,1,2,4,0,83554
11118859,Santa Clarita,Los Angeles,3,3,3,1928,6848,34.433174,-118.54643,1989,527672,91354,1,1,2,4,1,83554
11118959,Santa Clarita,Los Angeles,3,3,3,1548,5583,34.437003,-118.546679,1990,275109,91354,1,1,2,4,0,83554
11119082,Santa Clarita,Los Angeles,2,2,2,1355,7999,34.433309,-118.550294,1989,383072,91354,1,1,2,4,1,83554
11119720,Santa Clarita,Los Angeles,3,4,3,2508,8368,34.440699,-118.539862,1994,489813,91354,1,1,2,4,1,83554
11119843,Santa Clarita,Los Angeles,3,3,3,1714,129992,34.431174,-118.548865,1996,443690,91354,1,1,2,4,0,83554
11119943,Santa Clarita,Los Angeles,3,2,3,1106,5903,34.4295,-118.55,1995,208921,91354,1,1,2,4,0,83554
11121609,Santa Clarita,Los Angeles,2,3,2,1526,6688,34.456595,-118.499417,1978,404000,91350,1,1,2,4,0,83554
11122047,Santa Clarita,Los Angeles,3,4,3,2566,40122,34.445258,-118.496462,1984,383957,91350,1,1,2,4,0,83554
11122147,Santa Clarita,Los Angeles,3,4,3,2070,12220,34.446074,-118.502389,1986,489000,91350,1,1,2,4,0,83554
11122316,Santa Clarita,Los Angeles,3,4,3,2240,6678,34.447151,-118.490379,1983,384226,91350,1,1,2,4,0,83554
11122339,Santa Clarita,Los Angeles,2,3,2,1194,7866,34.438183,-118.485747,1984,216206,91351,1,1,2,4,0,83554
11122439,Santa Clarita,Los Angeles,2,3,2,1428,9928,34.440165,-118.483442,1984,335789,91351,1,1,2,4,0,83554
11127413,Los Angeles,Los Angeles,4,4,4,3424,12466,34.297102,-118.547478,1966,746201,96356,1,1,2,4,1,52024
11127513,Los Angeles,Los Angeles,3,4,3,2366,9513,34.297609,-118.542288,1966,128264,96356,1,1,2,4,0,52024
11128812,Los Angeles,Los Angeles,3,3,3,1598,362718,34.2749,-118.55,1980,446000,96356,1,1,2,4,1,52024
11128912,Los Angeles,Los Angeles,3,2,3,1282,314954,34.2739,-118.55,1983,348581,96356,1,1,2,4,1,52024
11129135,Los Angeles,Los Angeles,3,5,3,2494,8698,34.281919,-118.550245,1974,147903,96356,1,1,2,4,0,52024
11129235,Los Angeles,Los Angeles,3,4,3,2301,10470,34.280352,-118.548463,1974,510247,96356,1,1,2,4,1,52024
11129335,Los Angeles,Los Angeles,3,4,3,2301,11327,34.279011,-118.549527,1975,429197,96356,1,1,2,4,1,52024
11129435,Santa Clarita,Los Angeles,2,3,2,1263,5956,34.45813,-118.534298,1977,166254,91354,1,1,2,7,0,83554
11129481,Santa Clarita,Los Angeles,3,3,3,1733,7082,34.458872,-118.535732,1983,323682,91354,1,1,2,7,0,83554
11129581,Santa Clarita,Los Angeles,2,3,2,1263,9700,34.457181,-118.538763,1983,399000,91354,1,1,2,7,0,83554
11129781,Santa Clarita,Los Angeles,2,4,2,1624,6047,34.455077,-118.536064,1979,164407,91354,1,1,2,7,0,83554
11129904,Santa Clarita,Los Angeles,2,4,2,1624,6597,34.452251,-118.539003,1978,357108,91354,1,1,2,7,0,83554
11130004,Santa Clarita,Los Angeles,2,3,2,1263,5738,34.452181,-118.535714,1978,352720,91354,1,1,2,7,0,83554
11130142,Santa Clarita,Los Angeles,2,3,2,1500,7993,34.366575,-118.554089,1966,443691,96352,1,0,2,7,0,83554
11130365,Santa Clarita,Los Angeles,3,4,3,2288,11249,34.365578,-118.548068,1979,282434,96352,1,1,2,4,0,83554
11130464,Santa Clarita,Los Angeles,3,3,3,1278,109001,34.377633,-118.560458,1979,212132,96352,1,1,2,4,0,83554
11130487,Santa Clarita,Los Angeles,2,2,2,988,398589,34.377309,-118.558682,1966,175890,96352,1,1,2,7,1,83554
11130587,Santa Clarita,Los Angeles,1,1,1,827,398589,34.376457,-118.557246,1966,178020,96352,1,1,2,7,0,83554
11130656,Santa Clarita,Los Angeles,2,3,2,2040,6655,34.376238,-118.560546,1976,226794,96352,1,1,2,7,0,83554
11137387,Santa Clarita,Los Angeles,3,4,3,3699,108010,34.367907,-118.531201,1964,1208347,96352,1,0,20,4,1,83554
11137433,Santa Clarita,Los Angeles,2,3,2,1600,9763,34.370672,-118.532185,1961,557380,96352,1,0,2,7,0,83554
11137479,Santa Clarita,Los Angeles,3,4,3,1929,12072,34.369651,-118.534454,1958,496422,96352,1,0,2,4,1,83554
11137899,Santa Clarita,Los Angeles,4,3,4,3140,6731,34.359313,-118.540192,1984,574574,96352,1,1,2,4,1,83554
11137922,Santa Clarita,Los Angeles,3,4,3,2930,15781,34.359833,-118.540056,1984,452538,96352,1,1,2,4,0,83554
11137945,Santa Clarita,Los Angeles,3,4,3,3059,11042,34.364708,-118.543351,1987,618000,96352,1,1,2,4,1,83554
11137968,Santa Clarita,Los Angeles,5,4,5,3757,8044,34.365099,-118.543328,1987,606769,96352,1,1,2,4,0,83554
11139026,Santa Clarita,Los Angeles,3,4,3,3409,9239,34.376523,-118.543667,1989,382273,96352,1,1,2,4,0,83554
11139217,Santa Clarita,Los Angeles,3,3,3,2540,12592,34.373319,-118.53461,1960,394535,96352,1,0,2,7,0,83554
11139469,Santa Clarita,Los Angeles,2,2,2,1606,8522,34.372976,-118.541841,1976,316323,96352,1,1,2,4,0,83554
11139891,Santa Clarita,Los Angeles,2,3,2,2816,19525,34.371285,-118.534727,1934,472570,96352,1,1,2,4,1,83554
11140216,Santa Clarita,Los Angeles,2,4,2,1716,4687,34.378747,-118.523434,1998,124248,96352,1,0,2,4,0,83554
11140527,Santa Clarita,Los Angeles,3,3,3,2138,22545,34.383265,-118.516036,1964,586076,96352,1,1,2,4,1,83554
11140740,Santa Clarita,Los Angeles,3,3,3,1265,181847,34.3687,-118.51,1984,176769,96352,1,1,2,7,1,83554
11141250,Santa Clarita,Los Angeles,2,2,2,888,132272,34.3781,-118.511,1990,215500,96352,1,1,2,4,0,83554
11142135,Santa Clarita,Los Angeles,3,4,3,2747,111446,34.390528,-118.524386,1980,724966,96352,1,1,2,4,0,83554
11143129,Santa Clarita,Los Angeles,2,2,2,925,231200,34.402763,-118.483611,1984,287531,96352,1,1,2,4,1,83554
11143252,Santa Clarita,Los Angeles,2,2,2,1419,516746,34.404499,-118.486053,1985,326393,96352,1,1,2,4,1,83554
11143500,Santa Clarita,Los Angeles,3,3,3,1466,426781,34.406612,-118.485933,1993,355487,91351,1,1,2,4,0,83554
11143523,Santa Clarita,Los Angeles,3,4,3,1882,462910,34.417227,-118.487253,1986,249061,91351,1,1,2,4,0,83554
11143623,Santa Clarita,Los Angeles,3,3,3,1471,200375,34.41611,-118.483558,1988,300888,91351,1,1,2,4,0,83554
11143723,Santa Clarita,Los Angeles,3,4,3,1882,453252,34.414222,-118.482891,1985,297132,91351,1,1,2,4,1,83554
11144269,Santa Clarita,Los Angeles,2,2,2,907,815788,34.4209,-118.489,1988,224000,91351,1,1,2,4,0,83554
11144392,Santa Clarita,Los Angeles,2,2,2,910,815788,34.4209,-118.489,1988,219919,91351,1,1,2,4,0,83554
11144515,Santa Clarita,Los Angeles,2,3,2,964,532639,34.4184,-118.489,1988,130636,91351,1,1,2,4,1,83554
11144615,Santa Clarita,Los Angeles,2,2,2,910,532639,34.4184,-118.489,1986,145330,91351,1,1,2,4,0,83554
11144684,Santa Clarita,Los Angeles,3,3,3,1635,7857,34.402515,-118.531118,1986,339657,91350,1,1,2,4,0,83554
11144784,Santa Clarita,Los Angeles,3,3,3,1635,9435,34.401016,-118.531902,1987,507700,91350,1,1,2,4,0,83554
11144853,Santa Clarita,Los Angeles,3,4,3,1877,6168,34.400707,-118.526823,1987,321502,91350,1,1,2,4,1,83554
11144976,Santa Clarita,Los Angeles,3,3,3,1505,3418,34.39892,-118.477858,1988,307289,96352,1,1,2,4,0,83554
11145337,Santa Clarita,Los Angeles,2,3,2,970,236712,34.3983,-118.482,1989,247000,96352,1,1,2,4,0,83554
11145414,Santa Clarita,Los Angeles,2,2,2,964,461495,34.4168,-118.491,1987,218274,91351,1,1,2,4,0,83554
11145514,Santa Clarita,Los Angeles,2,3,2,994,461495,34.4168,-118.491,1989,154726,91351,1,1,2,4,0,83554
11146618,Santa Clarita,Los Angeles,2,3,2,1572,6857,34.435901,-118.404738,1968,161428,96401,1,1,2,7,1,83554
11146864,Santa Clarita,Los Angeles,3,4,3,2176,7037,34.43189,-118.404007,1968,470900,96401,1,1,2,7,0,83554
11146987,Santa Clarita,Los Angeles,3,4,3,1601,297252,34.429086,-118.413502,1982,284612,96401,1,1,2,4,0,83554
11147110,Santa Clarita,Los Angeles,3,3,3,1838,392023,34.430554,-118.4115,1983,273803,96401,1,1,2,4,0,83554
11147210,Santa Clarita,Los Angeles,2,3,2,944,335575,34.431093,-118.407997,1983,217216,96401,1,1,2,4,0,83554
11147379,Santa Clarita,Los Angeles,3,4,3,1911,157951,34.435082,-118.406036,1988,312505,96401,1,1,2,4,0,83554
11147899,Santa Clarita,Los Angeles,2,3,2,1125,130137,34.424471,-118.426441,1980,320000,96401,1,1,2,4,0,83554
11147991,Santa Clarita,Los Angeles,3,5,3,2354,8778,34.428207,-118.427825,1969,249050,96401,1,1,2,7,0,83554
11148264,Santa Clarita,Los Angeles,2,3,2,1479,12067,34.430712,-118.426662,1966,141308,96401,1,1,2,7,0,83554
11148633,Santa Clarita,Los Angeles,3,4,3,2217,20203,34.42696,-118.432878,1980,353541,96401,1,1,2,4,1,83554
11148733,Santa Clarita,Los Angeles,2,3,2,1348,66799,34.43329,-118.42888,1984,275810,96401,1,1,2,7,1,83554
11152532,Santa Clarita,Los Angeles,2,4,2,1400,10319,34.400644,-118.469283,1965,147591,96352,1,0,2,7,0,83554
11152724,Santa Clarita,Los Angeles,2,3,2,1192,7429,34.395152,-118.469636,1966,252924,96352,1,0,2,7,0,83554
11152816,Santa Clarita,Los Angeles,3,4,3,1844,11649,34.396196,-118.471445,1966,151677,96352,1,1,2,4,0,83554
11153008,Santa Clarita,Los Angeles,3,5,3,1862,9716,34.392813,-118.477679,1968,325439,96352,1,0,2,7,1,83554
11153115,Santa Clarita,Los Angeles,3,3,3,1132,125129,34.4021,-118.464,1992,209143,96352,1,1,2,7,0,83554
11153215,Santa Clarita,Los Angeles,3,3,3,1176,112113,34.4022,-118.467,1990,172440,96352,1,1,2,7,1,83554
11153537,Santa Clarita,Los Angeles,3,3,3,1176,111062,34.4035,-118.467,1990,285594,96352,1,1,2,7,1,83554
11154037,Santa Clarita,Los Angeles,3,3,3,1268,91867,34.4151,-118.446,1984,153907,96401,1,1,2,7,1,83554
11154481,Santa Clarita,Los Angeles,2,3,2,1556,8697,34.4217,-118.434605,1970,266625,96401,1,1,2,7,0,83554
11154595,Santa Clarita,Los Angeles,3,4,3,2151,11293,34.422477,-118.439459,1985,515000,96401,1,1,2,4,1,83554
11154818,Santa Clarita,Los Angeles,2,2,2,848,125051,34.4224,-118.449,1984,200000,96401,1,1,2,7,1,83554
11155418,Santa Clarita,Los Angeles,3,3,3,1521,111809,34.4151,-118.447,1984,270000,96401,1,1,2,7,1,83554
11155518,Santa Clarita,Los Angeles,3,2,3,1127,119805,34.415,-118.449,1985,141087,96401,1,1,2,7,1,83554
11156078,Santa Clarita,Los Angeles,2,2,2,1085,55080,34.4063,-118.452,1993,181218,96401,1,1,2,7,0,83554
11157205,Santa Clarita,Los Angeles,5,5,5,4210,93204,34.394303,-118.409249,1981,1100400,96401,1,1,2,1,1,83554
11157771,Santa Clarita,Los Angeles,3,4,3,2211,7693,34.442614,-118.507951,1971,292080,91350,1,1,2,7,0,83554
11157863,Santa Clarita,Los Angeles,2,3,2,1546,3812,34.442691,-118.509611,1971,380000,91350,1,0,2,7,0,83554
11158231,Santa Clarita,Los Angeles,2,3,2,1188,5965,34.430655,-118.529998,1963,155361,91350,1,0,2,7,0,83554
11159747,Santa Clarita,Los Angeles,2,2,2,1041,676029,34.3893,-118.562,1971,175807,96378,1,1,2,4,0,83554
11159847,Santa Clarita,Los Angeles,1,1,1,722,676029,34.3893,-118.562,1977,158095,96378,1,1,2,4,0,83554
11159947,Santa Clarita,Los Angeles,2,2,2,1054,2176,34.390032,-118.559352,1975,327000,96378,1,1,2,4,0,83554
11160223,Santa Clarita,Los Angeles,3,5,3,2807,51591,34.382159,-118.557305,1977,305801,96378,1,1,2,4,1,83554
11160505,Santa Clarita,Los Angeles,2,3,2,1156,8489,34.456677,-118.388222,1974,167611,96401,1,1,2,7,1,83554
11160780,Santa Clarita,Los Angeles,2,3,2,1342,7760,34.441932,-118.388864,1996,250174,96401,1,1,2,4,0,83554
11160872,Santa Clarita,Los Angeles,2,3,2,1043,8567,34.443408,-118.392597,1969,173787,96401,1,0,2,7,0,83554
11160972,Santa Clarita,Los Angeles,2,4,2,1681,7215,34.445547,-118.396574,1970,368212,96401,1,0,2,7,0,83554
11161095,Santa Clarita,Los Angeles,2,4,2,1635,7196,34.445456,-118.392011,1969,448280,96401,1,1,2,7,1,83554
11161202,Santa Clarita,Los Angeles,2,4,2,1362,7335,34.446705,-118.389857,1973,382000,96401,1,0,2,7,0,83554
11161225,Santa Clarita,Los Angeles,2,3,2,1201,6705,34.449298,-118.388979,1978,295353,96401,1,1,2,7,0,83554
11161663,Santa Clarita,Los Angeles,3,4,3,2450,8562,34.449812,-118.394426,1989,368745,96401,1,1,2,4,0,83554
11161763,Santa Clarita,Los Angeles,3,3,3,1828,5152,34.443803,-118.388761,1992,442000,96401,1,1,2,4,1,83554
11161909,Santa Clarita,Los Angeles,3,4,3,2363,6077,34.439149,-118.386182,1996,396010,96401,1,1,2,4,1,83554
11161955,Santa Clarita,Los Angeles,3,4,3,2104,15517,34.441973,-118.383404,1997,375816,96401,1,1,2,4,0,83554
11162101,Santa Clarita,Los Angeles,3,5,3,2292,26948,34.435289,-118.38143,1998,425375,96401,1,1,2,4,0,83554
11162865,Santa Clarita,Los Angeles,2,4,2,1783,6154,34.388737,-118.537141,1954,316295,96352,1,0,7,7,0,83554
11163046,Santa Clarita,Los Angeles,2,3,2,1036,5539,34.38428,-118.534655,1932,293150,96352,2,0,2,7,0,83554
11163183,Santa Clarita,Los Angeles,1,2,1,1144,7387,34.381755,-118.5361,1956,228143,96352,1,0,7,7,0,83554
11163942,Santa Clarita,Los Angeles,2,3,2,1429,5782,34.387033,-118.545476,1968,294623,96378,1,1,2,7,0,83554
11164241,Santa Clarita,Los Angeles,3,5,3,2327,6694,34.385932,-118.555546,1968,555888,96378,1,1,2,4,1,83554
11164571,Santa Clarita,Los Angeles,2,4,2,1743,6419,34.381133,-118.554625,1968,338508,96378,1,1,2,7,0,83554
11164694,Santa Clarita,Los Angeles,2,3,2,1769,5815,34.388307,-118.55015,1972,393327,96378,1,1,2,4,0,83554
11164840,Santa Clarita,Los Angeles,2,3,2,1196,4931,34.393443,-118.557101,1976,365165,96378,1,1,2,7,0,83554
11165032,Santa Clarita,Los Angeles,4,6,4,2320,5763,34.392876,-118.552576,1969,175734,96378,1,1,2,4,0,83554
11165055,Santa Clarita,Los Angeles,3,4,3,2225,5729,34.391884,-118.551008,1973,550000,96378,1,1,2,4,0,83554
11165224,Santa Clarita,Los Angeles,3,4,3,2354,6483,34.389767,-118.552832,1975,367984,96378,1,1,2,4,1,83554
11165247,Santa Clarita,Los Angeles,3,3,3,2246,6180,34.389113,-118.555567,1976,166167,96378,1,1,2,4,1,83554
11165393,Santa Clarita,Los Angeles,2,3,2,1051,4806,34.392786,-118.558594,1976,313429,96378,1,1,2,7,0,83554
11165653,Santa Clarita,Los Angeles,2,3,2,1514,6344,34.393843,-118.549146,1974,227966,96378,1,1,2,7,0,83554
11165799,Santa Clarita,Los Angeles,2,3,2,1514,5643,34.394365,-118.547701,1971,271013,96378,1,1,2,7,1,83554
11166160,Santa Clarita,Los Angeles,2,2,2,1426,5689,34.39876,-118.542766,1974,71271,96378,1,1,2,7,0,83554
11166260,Santa Clarita,Los Angeles,2,3,2,1540,6691,34.38928,-118.543397,1977,371010,96378,1,1,2,4,0,83554
11166890,Santa Clarita,Los Angeles,2,3,2,1018,3478,34.403236,-118.541369,1979,339825,96378,1,1,2,7,0,83554
11166990,Santa Clarita,Los Angeles,2,2,2,864,4038,34.402618,-118.540679,1979,356992,96378,1,1,2,7,0,83554
11167013,Santa Clarita,Los Angeles,2,2,2,864,3591,34.404466,-118.543487,1982,356200,96378,1,1,2,7,0,83554
11167205,Santa Clarita,Los Angeles,2,4,2,1857,7110,34.40615,-118.547691,1984,313119,96378,1,1,2,4,1,83554
11167351,Santa Clarita,Los Angeles,3,4,3,2025,7047,34.404274,-118.544679,1982,349775,96378,1,1,2,4,0,83554
11167497,Santa Clarita,Los Angeles,2,3,2,1128,3360,34.407542,-118.541626,1984,354894,96378,1,1,2,7,0,83554
11167932,Santa Clarita,Los Angeles,2,4,2,1324,5531,34.396464,-118.557771,1978,302891,96378,1,1,2,4,0,83554
11168039,Santa Clarita,Los Angeles,3,3,3,1718,5728,34.409047,-118.550883,1984,398140,96378,1,1,2,4,0,83554
11168185,Santa Clarita,Los Angeles,2,2,2,864,3550,34.41018,-118.543165,1984,228999,96378,1,1,2,7,0,83554
11168231,Santa Clarita,Los Angeles,2,2,2,864,6765,34.411665,-118.545382,1985,238078,96378,1,1,2,7,0,83554
11168331,Santa Clarita,Los Angeles,2,3,2,1336,5040,34.412284,-118.547796,1985,357109,96378,1,1,2,4,0,83554
11168354,Santa Clarita,Los Angeles,2,3,2,1614,5523,34.411098,-118.547434,1985,545688,96378,1,1,2,4,0,83554
11169022,Santa Clarita,Los Angeles,2,3,2,1920,716115,34.4007,-118.562,1989,376479,96378,1,1,2,4,0,83554
11169122,Santa Clarita,Los Angeles,2,3,2,1678,5187,34.397662,-118.563988,1986,437060,96378,1,1,2,4,0,83554
11169482,Santa Clarita,Los Angeles,2,2,2,940,531830,34.4123,-118.552,1986,225740,96378,1,1,2,4,1,83554
11169805,Santa Clarita,Los Angeles,2,2,2,922,642861,34.403,-118.553,1988,280000,96378,1,1,2,4,1,83554
11169905,Santa Clarita,Los Angeles,2,2,2,922,642861,34.403,-118.553,1988,185196,96378,1,1,2,4,1,83554
11169974,Santa Clarita,Los Angeles,5,6,5,3648,8163,34.407904,-118.558857,1988,742954,96378,1,1,2,1,1,83554
11170542,Santa Clarita,Los Angeles,1,1,1,801,315437,34.405,-118.557,1988,206457,96378,1,1,2,4,0,83554
11170742,Santa Clarita,Los Angeles,2,2,2,925,842267,34.4107,-118.561,1989,195765,96378,1,1,2,7,0,83554
11170842,Santa Clarita,Los Angeles,2,2,2,970,842267,34.4107,-118.561,1989,198613,96378,1,1,2,7,0,83554
11170988,Santa Clarita,Los Angeles,2,2,2,1000,842267,34.4107,-118.561,1989,285000,96378,1,1,2,7,0,83554
11171088,Santa Clarita,Los Angeles,1,1,1,835,842267,34.4107,-118.561,1989,218300,96378,1,1,2,7,0,83554
11171188,Santa Clarita,Los Angeles,1,1,1,835,842267,34.4107,-118.561,1989,218300,96378,1,1,2,7,0,83554
11171288,Santa Clarita,Los Angeles,2,2,2,1052,351525,34.4119,-118.563,1989,159847,96378,1,1,2,4,1,83554
