,area_id,area_type,year,percent_associates_degree,percent_bachelors_degree_or_higher,percent_graduate_or_professional_degree,percent_high_school_graduate_or_higher,percent_less_than_9th_grade,City,State
3274,1600000US0842165,region.place,2013,0.0,0.0,0.0,100.0,0.0,La Junta Gardens,CO
3275,1600000US0864870,region.place,2013,0.0,0.0,0.0,100.0,0.0,Rock Creek Park,CO
3277,1600000US0815825,region.place,2013,0.0,0.0,0.0,100.0,0.0,Colona,CO
3278,1600000US0801915,region.place,2013,0.0,0.0,0.0,100.0,0.0,Amherst,CO
3280,1600000US0812450,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cathedral,CO
3281,1600000US0847345,region.place,2013,0.0,0.0,0.0,100.0,0.0,McCoy,CO
3283,1600000US0863650,region.place,2013,0.0,0.0,0.0,100.0,0.0,Redstone,CO
3285,1600000US0808290,region.place,2013,0.0,0.0,0.0,100.0,0.0,Brandon,CO
3289,1600000US0878345,region.place,2013,0.0,0.0,0.0,100.0,0.0,Trail Side,CO
4395,1600000US1240525,region.place,2013,0.0,0.0,0.0,66.0,34.0,Limestone,FL
4399,1600000US1226775,region.place,2013,0.0,0.0,0.0,79.6,20.4,Goodland,FL
4417,1600000US1222375,region.place,2013,0.0,0.0,0.0,50.6,49.4,Fisher Island,FL
4447,1600000US1246725,region.place,2013,0.0,0.0,0.0,100.0,0.0,Morriston,FL
4901,1600000US1384260,region.place,2013,3.5,7.8,4.6,76.3,7.8,Woodville,GA
4939,1600000US1384708,region.place,2013,9.6,4.0,1.2,75.3,9.9,Yatesville,GA
5044,1600000US1350176,region.place,2013,0.0,0.0,0.0,49.4,50.6,Matthews,GA
5061,1600000US1312484,region.place,2013,0.0,0.0,0.0,83.1,16.9,Calvary,GA
5064,1600000US1375272,region.place,2013,0.0,22.2,0.0,55.6,22.2,Talking Rock,GA
5067,1600000US1360312,region.place,2013,0.0,0.0,0.0,100.0,0.0,Perkins,GA
5068,1600000US1312960,region.place,2013,0.0,0.0,0.0,86.0,14.0,Canoochee,GA
5070,1600000US1314472,region.place,2013,0.0,0.0,0.0,0.0,100.0,Cedar Springs,GA
5994,1600000US1978600,region.place,2013,13.9,6.1,0.0,79.1,0.9,Toronto,IA
6010,1600000US1973965,region.place,2013,0.0,0.0,0.0,91.7,8.3,South Amana,IA
6041,1600000US1943500,region.place,2013,3.1,3.1,0.0,89.6,4.2,Larrabee,IA
6067,1600000US1950970,region.place,2013,7.7,3.3,0.0,83.5,5.5,Melrose,IA
6081,1600000US1914385,region.place,2013,19.4,0.0,0.0,80.6,0.0,Climbing Hill,IA
6316,1600000US1665620,region.place,2013,12.2,0.0,0.0,87.8,0.0,Princeton,ID
6332,1600000US1615490,region.place,2013,0.0,0.0,0.0,100.0,0.0,Clayton,ID
6333,1600000US1604600,region.place,2013,0.0,0.0,0.0,0.0,100.0,Banks,ID
7116,1600000US1707640,region.place,2013,3.5,5.8,0.0,88.4,2.3,Braceville,IL
7662,1600000US2040250,region.place,2013,9.6,2.2,0.0,88.2,0.0,Liberty,KS
7699,1600000US2055525,region.place,2013,9.6,4.4,0.0,86.0,0.0,Peru,KS
7704,1600000US2028200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Grantville,KS
7705,1600000US2023650,region.place,2013,7.5,5.6,0.0,80.4,6.5,Fontana,KS
7769,1600000US2061275,region.place,2013,3.8,9.4,0.0,86.8,0.0,Roseland,KS
7809,1600000US2011025,region.place,2013,0.0,0.0,0.0,100.0,0.0,Catharine,KS
7827,1600000US2058300,region.place,2013,22.2,0.0,0.0,77.8,0.0,Radium,KS
7830,1600000US2065650,region.place,2013,0.0,5.0,0.0,95.0,0.0,Simpson,KS
7833,1600000US2039700,region.place,2013,0.0,0.0,0.0,100.0,0.0,Levant,KS
7839,1600000US2076425,region.place,2013,0.0,0.0,0.0,100.0,0.0,Welda,KS
7840,1600000US2036736,region.place,2013,0.0,0.0,0.0,100.0,0.0,Kickapoo Site,KS
7844,1600000US2037200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Kipp,KS
7850,1600000US2074625,region.place,2013,0.0,0.0,0.0,76.0,24.0,Waldron,KS
7859,1600000US2061550,region.place,2013,0.0,0.0,0.0,100.0,0.0,Roxbury,KS
7860,1600000US2032650,region.place,2013,5.9,5.9,0.0,88.2,0.0,Hollenberg,KS
7863,1600000US2063650,region.place,2013,0.0,0.0,0.0,100.0,0.0,Scottsville,KS
7865,1600000US2030250,region.place,2013,0.0,0.0,0.0,0.0,100.0,Harris,KS
7868,1600000US2011325,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cedar,KS
7942,1600000US2153130,region.place,2013,4.1,8.3,3.8,66.5,17.3,Monticello,KY
8300,1600000US2158062,region.place,2013,0.0,0.0,0.0,94.4,5.6,Oneida,KY
8315,1600000US2148072,region.place,2013,0.0,0.0,0.0,82.1,17.9,Lovelaceville,KY
8387,1600000US2132032,region.place,2013,0.0,0.0,0.0,61.7,38.3,Gracey,KY
8389,1600000US2158116,region.place,2013,0.0,0.0,0.0,100.0,0.0,Onton,KY
8391,1600000US2107390,region.place,2013,0.0,0.0,0.0,50.0,50.0,Blandville,KY
8893,1600000US4841424,region.place,2013,0.0,0.0,0.0,55.3,44.7,La Paloma Ranchettes,TX
8949,1600000US4943110,region.place,2013,0.0,0.0,0.0,100.0,0.0,La Sal,UT
8957,1600000US3537490,region.place,2013,0.0,3.8,3.8,75.3,17.1,La Jara,NM
8959,1600000US4841449,region.place,2013,0.0,0.0,0.0,67.6,32.4,La Presa,TX
8979,1600000US4839994,region.place,2013,0.0,0.0,0.0,0.0,100.0,La Carla,TX
8991,1600000US2940880,region.place,2013,0.0,0.0,0.0,76.0,24.0,La Tour,MO
8995,1600000US0842165,region.place,2013,0.0,0.0,0.0,100.0,0.0,La Junta Gardens,CO
8998,1600000US4840188,region.place,2013,0.0,0.0,0.0,0.0,100.0,La Esperanza,TX
8999,1600000US0640312,region.place,2013,0.0,0.0,0.0,100.0,0.0,La Porte,CA
9001,1600000US2252565,region.place,2013,0.0,20.0,0.0,80.0,0.0,Mound,LA
9697,1600000US2444525,region.place,2013,0.0,0.0,0.0,100.0,0.0,Klondike,MD
9707,1600000US2464475,region.place,2013,0.0,0.0,0.0,100.0,0.0,Quantico,MD
9712,1600000US2482625,region.place,2013,0.0,0.0,0.0,100.0,0.0,West Denton,MD
9718,1600000US2414300,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cearfoss,MD
9722,1600000US2413225,region.place,2013,0.0,0.0,0.0,100.0,0.0,Carlos,MD
9729,1600000US2467500,region.place,2013,0.0,0.0,0.0,89.5,10.5,Rock Point,MD
9732,1600000US2448775,region.place,2013,0.0,6.5,0.0,82.6,10.9,Luke,MD
9733,1600000US2431400,region.place,2013,0.0,0.0,0.0,100.0,0.0,Gapland,MD
9735,1600000US2478705,region.place,2013,0.0,0.0,0.0,100.0,0.0,Trego-Rohrersville Station,MD
9738,1600000US2463725,region.place,2013,0.0,0.0,0.0,88.0,12.0,Powellville,MD
9743,1600000US2465550,region.place,2013,0.0,0.0,0.0,39.2,60.8,Reid,MD
9747,1600000US2431875,region.place,2013,0.0,0.0,0.0,100.0,0.0,Georgetown,MD
9752,1600000US2441700,region.place,2013,0.0,0.0,0.0,100.0,0.0,Indian Springs,MD
9753,1600000US2474350,region.place,2013,0.0,0.0,0.0,100.0,0.0,Spring Gap,MD
9758,1600000US2426025,region.place,2013,0.0,0.0,0.0,100.0,0.0,Elliott,MD
9759,1600000US2452225,region.place,2013,0.0,0.0,0.0,100.0,0.0,Middleburg,MD
9760,1600000US2487150,region.place,2013,0.0,0.0,0.0,100.0,0.0,Yarrowsburg,MD
9761,1600000US2475200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Stockton,MD
9762,1600000US2455000,region.place,2013,0.0,0.0,0.0,100.0,0.0,National,MD
10847,1600000US2750506,region.place,2013,9.3,9.3,0.0,70.9,10.5,Perley,MN
10894,1600000US2704348,region.place,2013,19.7,8.5,0.0,71.8,0.0,Beaulieu,MN
10907,1600000US2759188,region.place,2013,11.9,2.4,2.4,83.3,0.0,Sedan,MN
10930,1600000US2732912,region.place,2013,8.3,0.0,0.0,91.7,0.0,Kerrick,MN
10949,1600000US2701558,region.place,2013,0.0,0.0,0.0,100.0,0.0,Angle Inlet,MN
11521,1600000US2939952,region.place,2013,5.1,5.1,0.0,87.1,2.7,Lake Lafayette,MO
11639,1600000US2948566,region.place,2013,2.5,9.5,3.5,79.5,5.0,Mindenmines,MO
11666,1600000US2908614,region.place,2013,4.8,6.7,1.2,77.0,10.3,Bronaugh,MO
11799,1600000US2948880,region.place,2013,8.3,6.0,1.2,82.1,2.4,Miramiguoa Park,MO
11806,1600000US2943346,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lithium,MO
12395,1600000US3081175,region.place,2013,0.0,0.0,0.0,50.0,50.0,Winston,MT
12418,1600000US3064975,region.place,2013,5.9,8.3,1.8,76.3,7.7,Ryegate,MT
12443,1600000US3074500,region.place,2013,0.0,0.0,0.0,93.4,6.6,Toston,MT
12476,1600000US3034110,region.place,2013,0.0,0.0,0.0,100.0,0.0,Happys Inn,MT
12498,1600000US3061075,region.place,2013,0.0,0.0,0.0,100.0,0.0,Ravalli,MT
12526,1600000US3008800,region.place,2013,0.0,0.0,0.0,100.0,0.0,Boyd,MT
12535,1600000US3038275,region.place,2013,0.0,0.0,0.0,100.0,0.0,Huson,MT
12536,1600000US3065650,region.place,2013,0.0,0.0,0.0,100.0,0.0,St. Xavier,MT
13256,1600000US3763720,region.place,2013,6.0,0.0,0.0,73.8,20.2,Speed,NC
13268,1600000US3716860,region.place,2013,0.0,0.0,0.0,95.5,4.5,Delway,NC
13271,1600000US3718300,region.place,2013,0.0,0.0,0.0,100.0,0.0,Dundarrach,NC
13480,1600000US3850860,region.place,2013,0.0,12.7,0.0,71.6,15.7,Marmarth,ND
13501,1600000US3824620,region.place,2013,5.8,20.3,0.0,73.9,0.0,Erie,ND
13573,1600000US3824380,region.place,2013,0.0,0.0,0.0,100.0,0.0,Englevale,ND
13587,1600000US3882380,region.place,2013,16.7,9.5,0.0,73.8,0.0,Voltaire,ND
13601,1600000US3887860,region.place,2013,0.0,0.0,0.0,100.0,0.0,York,ND
13604,1600000US3843260,region.place,2013,5.3,0.0,0.0,94.7,0.0,Knox,ND
13606,1600000US3848580,region.place,2013,0.0,0.0,0.0,97.4,2.6,Luverne,ND
13618,1600000US3809830,region.place,2013,0.0,0.0,0.0,100.0,0.0,Brooktree Park,ND
13620,1600000US3879140,region.place,2013,0.0,0.0,0.0,100.0,0.0,Tolley,ND
13621,1600000US3806300,region.place,2013,9.5,0.0,0.0,90.5,0.0,Berlin,ND
13638,1600000US3872820,region.place,2013,0.0,0.0,0.0,87.5,12.5,Sibley,ND
13646,1600000US3803740,region.place,2013,0.0,0.0,0.0,100.0,0.0,Auburn,ND
13658,1600000US3804020,region.place,2013,0.0,0.0,0.0,66.7,33.3,Ayr,ND
13661,1600000US3849540,region.place,2013,0.0,0.0,0.0,100.0,0.0,McLeod,ND
13664,1600000US3835060,region.place,2013,0.0,0.0,0.0,100.0,0.0,Hannah,ND
13665,1600000US3805220,region.place,2013,0.0,0.0,0.0,100.0,0.0,Barton,ND
13668,1600000US3811500,region.place,2013,0.0,0.0,0.0,100.0,0.0,Caledonia,ND
13669,1600000US3845220,region.place,2013,0.0,0.0,0.0,100.0,0.0,Larson,ND
13673,1600000US3865100,region.place,2013,0.0,0.0,0.0,100.0,0.0,Raleigh,ND
14068,1600000US3137630,region.place,2013,2.0,7.8,0.0,81.4,8.8,Otoe,NE
14128,1600000US3131640,region.place,2013,10.4,7.5,0.0,79.1,3.0,Memphis,NE
14150,1600000US3117040,region.place,2013,0.0,0.0,0.0,23.7,76.3,Fontanelle,NE
14190,1600000US3141235,region.place,2013,5.1,0.0,0.0,94.9,0.0,Reynolds,NE
14202,1600000US3129155,region.place,2013,0.0,0.0,0.0,100.0,0.0,Loretto,NE
14213,1600000US3141340,region.place,2013,0.0,0.0,0.0,100.0,0.0,Richfield,NE
14226,1600000US3115605,region.place,2013,0.0,0.0,0.0,100.0,0.0,Elyria,NE
14228,1600000US3117950,region.place,2013,0.0,0.0,0.0,100.0,0.0,Gandy,NE
14249,1600000US3153205,region.place,2013,0.0,0.0,0.0,100.0,0.0,Willow Island,NE
14250,1600000US3106260,region.place,2013,0.0,0.0,0.0,100.0,0.0,Brewster,NE
14251,1600000US3101465,region.place,2013,0.0,0.0,0.0,100.0,0.0,Anoka,NE
14252,1600000US3131150,region.place,2013,0.0,0.0,0.0,100.0,0.0,Max,NE
14253,1600000US3143650,region.place,2013,0.0,0.0,0.0,100.0,0.0,Sarben,NE
14254,1600000US3120295,region.place,2013,0.0,0.0,0.0,100.0,0.0,Gross,NE
14701,1600000US3482450,region.place,2013,7.7,9.2,1.4,73.9,7.8,Woodlynne,NJ
14739,1600000US3480840,region.place,2013,3.1,10.8,4.3,74.5,7.3,Whitesboro,NJ
14889,1600000US3409100,region.place,2013,0.0,0.0,0.0,100.0,0.0,Buttzville,NJ
14891,1600000US3407660,region.place,2013,0.0,0.0,0.0,100.0,0.0,Bridgeville,NJ
15098,1600000US3522230,region.place,2013,0.0,0.0,0.0,100.0,0.0,East Pecos,NM
15105,1600000US3550090,region.place,2013,0.0,0.0,0.0,93.1,6.9,Mora,NM
15177,1600000US3554940,region.place,2013,0.0,0.0,0.0,100.0,0.0,Pajarito Mesa,NM
15193,1600000US3582640,region.place,2013,0.0,0.0,0.0,88.1,11.9,Veguita,NM
15203,1600000US3571440,region.place,2013,7.2,0.0,0.0,92.8,0.0,Seama,NM
15210,1600000US3531540,region.place,2013,0.0,0.0,0.0,100.0,0.0,Hanover,NM
15211,1600000US3537490,region.place,2013,0.0,3.8,3.8,75.3,17.1,La Jara,NM
15233,1600000US3518660,region.place,2013,4.9,0.0,0.0,88.5,6.6,Coyote,NM
15245,1600000US3564440,region.place,2013,0.0,0.0,0.0,63.8,36.2,Rodey,NM
15277,1600000US3573680,region.place,2013,0.0,0.0,0.0,100.0,0.0,Soham,NM
15281,1600000US3586175,region.place,2013,0.0,0.0,0.0,100.0,0.0,Young Place,NM
15292,1600000US3525135,region.place,2013,0.0,0.0,0.0,100.0,0.0,Escudilla Bonita,NM
15300,1600000US3504030,region.place,2013,0.0,0.0,0.0,100.0,0.0,Apache Creek,NM
15302,1600000US3550515,region.place,2013,0.0,0.0,0.0,100.0,0.0,Mountain View,NM
15303,1600000US3558420,region.place,2013,0.0,0.0,0.0,72.1,27.9,Pleasanton,NM
15307,1600000US3571790,region.place,2013,0.0,0.0,0.0,100.0,0.0,Sena,NM
15308,1600000US3515560,region.place,2013,0.0,0.0,0.0,100.0,0.0,City,NM
15310,1600000US3519500,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cundiyo,NM
15311,1600000US3510050,region.place,2013,0.0,0.0,0.0,100.0,0.0,Caballo,NM
15312,1600000US3508860,region.place,2013,0.0,0.0,0.0,100.0,0.0,Brazos,NM
15316,1600000US3511520,region.place,2013,0.0,0.0,0.0,100.0,0.0,Canova,NM
15317,1600000US3525100,region.place,2013,0.0,0.0,0.0,100.0,0.0,Escondida,NM
15318,1600000US3537860,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lake Roberts,NM
15325,1600000US3559860,region.place,2013,0.0,0.0,0.0,100.0,0.0,Pueblo,NM
15326,1600000US3554500,region.place,2013,0.0,0.0,0.0,100.0,0.0,Orogrande,NM
15328,1600000US3555550,region.place,2013,0.0,0.0,0.0,100.0,0.0,Pastura,NM
15330,1600000US3521810,region.place,2013,0.0,0.0,0.0,100.0,0.0,Duran,NM
15446,1600000US3238100,region.place,2013,0.0,0.0,0.0,92.8,7.2,Kingston,NV
15449,1600000US3239300,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lamoille,NV
15457,1600000US3250600,region.place,2013,0.0,0.0,0.0,100.0,0.0,Nelson,NV
15462,1600000US3205125,region.place,2013,0.0,0.0,0.0,100.0,0.0,Beaverdam,NV
15463,1600000US3205275,region.place,2013,0.0,0.0,0.0,100.0,0.0,Bennett Springs,NV
15466,1600000US3218500,region.place,2013,0.0,0.0,0.0,100.0,0.0,Denio,NV
15467,1600000US3249425,region.place,2013,0.0,0.0,0.0,100.0,0.0,Mount Wilson,NV
15470,1600000US3252200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Oasis,NV
17233,1600000US3964262,region.place,2013,5.0,5.6,1.0,85.4,3.0,Port Jefferson,OH
17796,1600000US4034900,region.place,2013,4.7,3.5,0.0,86.0,5.8,Hitchita,OK
17805,1600000US4047200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Mazie,OK
17863,1600000US4000950,region.place,2013,0.0,0.0,0.0,95.1,4.9,Albany,OK
17893,1600000US4050250,region.place,2013,0.0,0.0,0.0,100.0,0.0,Nardin,OK
17899,1600000US4061900,region.place,2013,0.0,0.0,0.0,100.0,0.0,Ratliff City,OK
17908,1600000US4064000,region.place,2013,13.5,0.0,0.0,67.3,19.2,Rosedale,OK
17930,1600000US4037275,region.place,2013,0.0,0.0,0.0,84.9,15.1,Iron Post,OK
17933,1600000US4021150,region.place,2013,0.0,0.0,0.0,100.0,0.0,Dotyville,OK
17943,1600000US4039400,region.place,2013,0.0,0.0,0.0,100.0,0.0,Kenton,OK
17952,1600000US4047000,region.place,2013,0.0,0.0,0.0,100.0,0.0,May,OK
17956,1600000US4029300,region.place,2013,0.0,0.0,0.0,100.0,0.0,Gideon,OK
17957,1600000US4015625,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cloud Creek,OK
17964,1600000US4036020,region.place,2013,0.0,0.0,0.0,100.0,0.0,Hoot Owl,OK
17966,1600000US4019665,region.place,2013,0.0,0.0,0.0,100.0,0.0,Deer Lick,OK
17978,1600000US4011750,region.place,2013,0.0,0.0,0.0,0.0,100.0,Capron,OK
19116,1600000US7282055,region.place,2013,0.0,0.0,0.0,61.7,38.3,Tibes,PR
19119,1600000US7257862,region.place,2013,13.4,6.5,6.5,59.2,14.4,Pajonal,PR
19542,1600000US4536655,region.place,2013,0.0,0.0,0.0,100.0,0.0,Jenkinsville,SC
19551,1600000US4549975,region.place,2013,0.0,0.0,0.0,100.0,0.0,Newry,SC
19560,1600000US4536070,region.place,2013,0.0,0.0,0.0,100.0,0.0,Islandton,SC
19812,1600000US4613840,region.place,2013,0.0,9.8,0.0,82.0,8.2,Corn Creek,SD
19835,1600000US4660500,region.place,2013,0.0,0.0,0.0,100.0,0.0,Spring Creek,SD
19868,1600000US4627940,region.place,2013,6.5,10.9,0.0,82.6,0.0,Hazel,SD
19887,1600000US4623460,region.place,2013,6.3,0.0,0.0,85.4,8.3,Garden City,SD
19890,1600000US4621380,region.place,2013,0.0,0.0,0.0,100.0,0.0,Ferney,SD
19907,1600000US4638860,region.place,2013,0.0,0.0,0.0,50.0,50.0,Long Lake,SD
19909,1600000US4628460,region.place,2013,0.0,0.0,0.0,75.0,25.0,Hetland,SD
19926,1600000US4642620,region.place,2013,0.0,0.0,0.0,100.0,0.0,Milltown,SD
19931,1600000US4667500,region.place,2013,0.0,0.0,0.0,69.2,30.8,Virgil,SD
19934,1600000US4637140,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lily,SD
19935,1600000US4656420,region.place,2013,0.0,0.0,0.0,100.0,0.0,Roswell,SD
19942,1600000US4671380,region.place,2013,0.0,0.0,0.0,75.0,25.0,White Rock,SD
19945,1600000US4614220,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cottonwood,SD
20289,1600000US4749360,region.place,2013,4.8,12.3,0.9,76.6,5.4,Minor Hill,TN
20368,1600000US4708080,region.place,2013,0.0,0.0,0.0,94.6,5.4,Bransford,TN
20596,1600000US4861892,region.place,2013,3.0,12.3,3.7,66.2,14.8,Richmond,TX
20753,1600000US4820308,region.place,2013,6.4,8.3,1.5,71.8,12.0,Diboll,TX
21365,1600000US4943110,region.place,2013,0.0,0.0,0.0,100.0,0.0,La Sal,UT
21397,1600000US4955760,region.place,2013,0.0,0.0,0.0,100.0,0.0,Oasis,UT
21858,1600000US5177856,region.place,2013,0.0,0.0,0.0,81.0,19.0,Temperanceville,VA
21924,1600000US5147224,region.place,2013,0.0,7.1,0.0,59.7,33.2,Lovingston,VA
21932,1600000US5170520,region.place,2013,0.0,0.0,0.0,100.0,0.0,Savage Town,VA
21942,1600000US5155800,region.place,2013,0.0,0.0,0.0,100.0,0.0,New Kent,VA
21982,1600000US5105200,region.place,2013,0.0,0.0,0.0,82.8,17.2,Bayside,VA
21990,1600000US5178532,region.place,2013,0.0,0.0,0.0,81.8,18.2,Thynedale,VA
21992,1600000US5157870,region.place,2013,0.0,0.0,0.0,80.6,19.4,Nottoway Court House,VA
21993,1600000US5116736,region.place,2013,0.0,0.0,0.0,100.0,0.0,Churchville,VA
22090,1600000US5058525,region.place,2013,4.8,15.7,2.4,71.1,6.0,Readsboro,VT
22669,1600000US5331540,region.place,2013,0.0,0.0,0.0,22.0,78.0,Hogans Corner,WA
22706,1600000US5346405,region.place,2013,0.0,0.0,0.0,100.0,0.0,Moclips,WA
22713,1600000US5349030,region.place,2013,0.0,0.0,0.0,76.7,23.3,Nile,WA
22716,1600000US5300380,region.place,2013,0.0,0.0,0.0,100.0,0.0,Addy,WA
22724,1600000US5352378,region.place,2013,0.0,0.0,0.0,100.0,0.0,Oyehut,WA
22726,1600000US5350195,region.place,2013,0.0,0.0,0.0,65.4,34.6,Northwest Stanwood,WA
22728,1600000US5375985,region.place,2013,0.0,0.0,0.0,50.0,50.0,Wallula,WA
22730,1600000US5330030,region.place,2013,0.0,0.0,0.0,100.0,0.0,Hat Island,WA
22733,1600000US5334470,region.place,2013,0.0,0.0,0.0,100.0,0.0,Junction City,WA
22734,1600000US5374200,region.place,2013,0.0,0.0,0.0,100.0,0.0,Vantage,WA
22735,1600000US5345355,region.place,2013,0.0,0.0,0.0,100.0,0.0,Methow,WA
22736,1600000US5361235,region.place,2013,0.0,0.0,0.0,50.0,50.0,Santiago,WA
22737,1600000US5342310,region.place,2013,0.0,0.0,0.0,100.0,0.0,Malo,WA
23360,1600000US5537225,region.place,2013,7.3,3.4,0.0,87.1,2.2,Ironton,WI
23515,1600000US5559450,region.place,2013,0.0,0.0,0.0,100.0,0.0,Odanah,WI
