,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
2874,1600000US0830835,region.place,2013,50657.0,26467.0,59857.0,27570.0,26873.0,51128.0,65000.0,22727.0,9085.0,30159.0,3.9,10.2,1.3,12.3,16.8,15.8,8.2,9.8,21.7,Golden,CO
2881,1600000US0883120,region.place,2013,31382.0,25392.0,35613.0,28520.0,26888.0,32426.0,31802.0,29891.0,21509.0,34601.0,3.8,17.9,2.1,28.3,26.3,13.0,4.6,2.4,1.6,Welby,CO
2883,1600000US0833035,region.place,2013,59867.0,34216.0,106694.0,84234.0,52818.0,58489.0,98846.0,21850.0,42875.0,47936.0,2.3,2.7,0.9,10.9,13.6,9.3,5.4,11.8,43.1,Greenwood Village,CO
2885,1600000US0806970,region.place,2013,51182.0,30427.0,87361.0,68125.0,46990.0,71543.0,101538.0,32087.0,26563.0,44950.0,4.1,5.8,1.9,8.6,11.2,15.2,5.4,15.3,32.5,Black Forest,CO
2887,1600000US0875640,region.place,2013,67057.0,37589.0,86303.0,61115.0,48659.0,59650.0,80148.0,40703.0,81250.0,43979.0,3.0,6.5,0.9,5.0,13.7,11.5,6.1,18.4,34.9,Superior,CO
2889,1600000US0806172,region.place,2013,35680.0,18079.0,43314.0,30302.0,25914.0,46096.0,47542.0,35000.0,20234.0,30533.0,4.2,14.7,2.9,18.7,26.0,19.0,2.7,8.8,3.0,Berkley,CO
2893,1600000US0827810,region.place,2013,30762.0,22082.0,35887.0,28251.0,25244.0,37667.0,46650.0,26210.0,25888.0,26452.0,3.1,27.2,1.4,25.2,24.3,8.0,3.0,4.7,3.1,Fort Morgan,CO
2904,1600000US0828360,region.place,2013,43354.0,32578.0,61198.0,50470.0,41747.0,51887.0,81000.0,38973.0,20417.0,41195.0,1.1,5.1,2.7,12.2,25.8,18.3,10.0,15.1,9.7,Frederick,CO
2905,1600000US0874080,region.place,2013,54593.0,36536.0,83663.0,67422.0,53666.0,76821.0,63750.0,58727.0,36250.0,47846.0,0.7,3.1,0.8,7.6,14.6,14.3,12.5,13.3,33.1,Stonegate,CO
2906,1600000US0825390,region.place,2013,60242.0,37948.0,85033.0,56232.0,44380.0,58875.0,64082.0,37422.0,25188.0,38393.0,2.6,3.3,0.3,6.7,18.0,16.1,8.4,13.7,30.9,Evergreen,CO
2907,1600000US0886117,region.place,2013,57482.0,22134.0,95833.0,70189.0,43708.0,63254.0,87891.0,30469.0,63125.0,41887.0,0.7,4.5,2.6,6.5,8.4,11.6,6.8,22.9,36.0,Woodmoor,CO
2909,1600000US0819850,region.place,2013,28513.0,18410.0,42608.0,32331.0,23403.0,31868.0,45919.0,30100.0,25625.0,26613.0,7.5,17.0,4.1,23.6,15.1,12.7,6.2,9.1,4.7,Delta,CO
2910,1600000US0866197,region.place,2013,60946.0,38406.0,74326.0,59242.0,52207.0,58147.0,76091.0,48393.0,30417.0,36882.0,1.9,6.1,1.0,10.1,11.3,16.5,10.5,22.1,20.5,Roxborough Park,CO
2914,1600000US0825550,region.place,2013,61691.0,40086.0,66389.0,49118.0,42345.0,67802.0,74643.0,41914.0,21644.0,53364.0,3.3,7.7,0.4,8.3,17.9,13.6,7.7,17.5,23.6,Fairmount,CO
2915,1600000US0843110,region.place,2013,27432.0,14912.0,40337.0,25817.0,20108.0,39333.0,50000.0,22759.0,13438.0,30855.0,7.2,16.7,8.8,17.2,26.3,9.5,3.9,5.8,4.6,Lamar,CO
2917,1600000US0827700,region.place,2013,27389.0,24046.0,42133.0,35825.0,28938.0,44034.0,38000.0,30642.0,26401.0,35250.0,1.5,15.5,0.5,23.7,31.4,6.9,4.7,11.5,4.3,Fort Lupton,CO
2918,1600000US0886090,region.place,2013,38883.0,28750.0,60625.0,41552.0,34641.0,46214.0,55921.0,33705.0,16274.0,35042.0,2.8,11.0,2.3,11.1,26.0,14.5,5.3,9.7,17.3,Woodland Park,CO
2921,1600000US0842110,region.place,2013,26201.0,19841.0,38081.0,26184.0,21794.0,32661.0,43940.0,25588.0,18646.0,21538.0,7.7,25.7,4.5,17.2,20.3,9.0,3.5,7.9,4.2,La Junta,CO
2923,1600000US0803620,region.place,2013,52353.0,30523.0,49413.0,37500.0,32515.0,40563.0,65449.0,24207.0,30250.0,30568.0,2.0,11.6,3.3,12.2,20.3,17.4,8.3,6.9,18.0,Aspen,CO
2930,1600000US0804110,region.place,2013,36390.0,32490.0,35370.0,33254.0,32917.0,37393.0,18314.0,31069.0,22852.0,52936.0,7.2,7.0,5.1,24.1,34.2,5.6,5.4,3.7,7.7,Avon,CO
2938,1600000US0809555,region.place,2013,30442.0,23970.0,38804.0,30766.0,25603.0,31364.0,74125.0,23167.0,25657.0,31240.0,1.2,25.2,1.5,28.2,18.7,11.0,2.5,9.0,2.7,Brush,CO
2939,1600000US0821330,region.place,2013,43056.0,30513.0,56622.0,47470.0,36281.0,50476.0,71515.0,46128.0,23822.0,33418.0,4.4,4.4,2.1,13.4,23.7,20.6,10.5,10.0,10.9,Dove Valley,CO
2944,1600000US0848445,region.place,2013,45333.0,26290.0,49818.0,28438.0,26719.0,30699.0,68607.0,25536.0,29219.0,23328.0,7.5,6.6,2.5,14.4,23.8,9.9,5.0,9.0,21.3,Manitou Springs,CO
2945,1600000US0805120,region.place,2013,38073.0,21176.0,60000.0,42500.0,37834.0,38992.0,44911.0,38707.0,41854.0,38348.0,1.2,15.0,0.8,11.0,27.6,15.6,2.2,11.1,15.5,Battlement Mesa,CO
2948,1600000US0853395,region.place,2013,33125.0,25082.0,52571.0,49013.0,34763.0,60625.0,25253.0,26071.0,20543.0,48441.0,2.0,11.1,2.0,14.6,23.7,22.1,2.9,15.8,5.8,New Castle,CO
2949,1600000US0822860,region.place,2013,40232.0,28317.0,57515.0,51825.0,39923.0,44485.0,69417.0,41821.0,35316.0,43523.0,2.9,2.5,1.2,13.0,28.9,18.8,14.4,9.1,9.2,Eaton,CO
2954,1600000US0810600,region.place,2013,32500.0,19010.0,40208.0,37277.0,29762.0,39107.0,51250.0,33087.0,26406.0,31908.0,6.1,7.7,2.7,29.4,20.9,10.8,6.4,9.9,6.1,Burlington,CO
2955,1600000US0869480,region.place,2013,39647.0,27202.0,44015.0,31771.0,29750.0,38456.0,58750.0,28350.0,22836.0,43125.0,2.8,10.8,4.2,19.5,28.6,20.8,2.0,7.3,4.0,Shaw Heights,CO
2957,1600000US0865190,region.place,2013,22132.0,16511.0,33292.0,25625.0,19145.0,33068.0,21250.0,26094.0,16121.0,20839.0,5.0,34.5,6.5,15.3,17.3,9.4,3.2,2.7,6.1,Rocky Ford,CO
2959,1600000US0870525,region.place,2013,42176.0,30682.0,49087.0,30000.0,30559.0,42500.0,34766.0,29174.0,7727.0,32165.0,3.7,9.0,6.7,23.5,14.9,17.8,14.4,5.2,4.8,Silverthorne,CO
2969,1600000US0858400,region.place,2013,37163.0,19576.0,50136.0,41463.0,33547.0,41625.0,41696.0,21864.0,18839.0,36930.0,2.2,15.2,1.3,9.8,27.5,24.5,7.6,9.9,2.0,Penrose,CO
2977,1600000US0828690,region.place,2013,45662.0,31037.0,42440.0,38906.0,34893.0,38676.0,37163.0,31885.0,30938.0,34274.0,1.8,10.2,0.5,13.3,38.7,14.2,6.0,6.3,9.0,Frisco,CO
2984,1600000US0860160,region.place,2013,40294.0,26056.0,49919.0,40093.0,30656.0,52188.0,44097.0,40324.0,28077.0,48077.0,4.8,6.9,0.6,22.1,25.0,23.1,2.9,11.3,3.3,Platteville,CO
2990,1600000US0837270,region.place,2013,26103.0,12821.0,37604.0,30882.0,25444.0,33889.0,50455.0,18542.0,17351.0,33942.0,3.6,18.3,0.9,29.1,26.8,11.8,5.0,1.2,3.3,Holyoke,CO
2999,1600000US0806090,region.place,2013,31389.0,25164.0,56029.0,40000.0,31520.0,38929.0,75714.0,30182.0,41146.0,36534.0,2.4,8.8,3.9,24.1,16.9,18.0,12.4,9.3,4.2,Bennett,CO
3002,1600000US0838370,region.place,2013,35875.0,22054.0,45268.0,33000.0,30095.0,55395.0,74773.0,27411.0,12159.0,32837.0,6.8,14.5,5.5,19.8,13.0,15.7,2.9,18.7,3.1,Idaho Springs,CO
3022,1600000US0857300,region.place,2013,37188.0,25375.0,53906.0,27083.0,25598.0,28333.0,38015.0,23500.0,7500.0,38125.0,7.4,12.3,4.9,16.2,18.4,13.7,7.4,13.4,6.3,Paonia,CO
3040,1600000US0829735,region.place,2013,42333.0,31250.0,50288.0,32857.0,31597.0,28500.0,70625.0,25848.0,11250.0,40625.0,5.1,9.8,2.9,14.2,23.9,16.4,5.3,14.2,8.2,Georgetown,CO
3047,1600000US0859005,region.place,2013,29464.0,25074.0,46250.0,41023.0,29148.0,46250.0,72250.0,25446.0,29500.0,31875.0,3.0,14.9,3.7,31.2,22.2,10.1,6.4,4.8,3.7,Pierce,CO
3052,1600000US0814175,region.place,2013,25278.0,20559.0,45750.0,32500.0,24792.0,27986.0,56250.0,22298.0,27143.0,35000.0,5.2,21.2,3.4,14.9,22.3,14.0,0.9,13.5,4.6,Cheyenne Wells,CO
3106,1600000US0822145,region.place,2013,26500.0,17946.0,36389.0,32500.0,20563.0,29167.0,39583.0,32188.0,14583.0,21250.0,2.8,26.4,6.2,18.5,28.1,3.4,2.8,5.6,6.2,Eads,CO
3296,1600000US0908000,region.place,2013,36057.0,24370.0,40081.0,27861.0,26167.0,46217.0,54855.0,28117.0,21471.0,32653.0,4.5,17.0,2.2,20.7,21.9,15.5,5.6,7.7,4.9,Bridgeport,CT
3299,1600000US0973000,region.place,2013,54136.0,32430.0,64537.0,41603.0,37318.0,67157.0,89335.0,27008.0,20381.0,37003.0,2.6,11.3,0.8,10.8,16.0,13.0,7.0,12.9,25.6,Stamford,CT
3300,1600000US0980000,region.place,2013,38162.0,25512.0,45015.0,33947.0,29773.0,51214.0,60370.0,29006.0,22914.0,33911.0,2.6,15.0,1.6,18.6,23.7,17.7,8.2,8.3,4.3,Waterbury,CT
3302,1600000US0918430,region.place,2013,39917.0,24102.0,49612.0,36038.0,30179.0,54533.0,72007.0,27341.0,21976.0,37982.0,3.6,14.3,2.5,14.2,21.4,14.5,5.3,11.4,12.8,Danbury,CT
3303,1600000US0950370,region.place,2013,35918.0,23816.0,42154.0,30609.0,26335.0,43523.0,61015.0,30394.0,21971.0,32241.0,3.7,14.3,2.0,21.2,24.7,16.9,5.6,7.5,4.1,New Britain,CT
3309,1600000US0947515,region.place,2013,56118.0,39667.0,70253.0,57092.0,48155.0,62996.0,76748.0,38565.0,30615.0,47669.0,1.1,5.2,0.9,10.1,15.5,19.3,10.5,17.5,19.9,Milford,CT
3316,1600000US0949880,region.place,2013,43072.0,30697.0,58370.0,41703.0,35379.0,60115.0,56476.0,34699.0,20879.0,40884.0,1.3,10.9,1.2,14.0,20.7,17.5,10.4,13.5,10.5,Naugatuck,CT
3318,1600000US0952210,region.place,2013,52519.0,40459.0,61975.0,50937.0,44272.0,65472.0,73857.0,40392.0,27151.0,42603.0,0.4,5.6,0.6,12.2,19.5,20.7,11.8,18.2,11.0,Newington,CT
3319,1600000US0922980,region.place,2013,43809.0,30498.0,57304.0,46130.0,38130.0,57857.0,68581.0,37827.0,24912.0,39624.0,2.5,9.3,1.2,13.5,21.7,19.9,9.7,11.9,10.3,East Haven,CT
3321,1600000US0983570,region.place,2013,86677.0,35854.0,156139.0,107117.0,71300.0,85893.0,124375.0,29677.0,31771.0,42990.0,0.7,3.5,0.7,6.3,5.8,8.6,4.2,9.9,60.3,Westport,CT
3322,1600000US0984970,region.place,2013,58831.0,42823.0,73101.0,55718.0,48306.0,67067.0,77792.0,32766.0,38958.0,46725.0,1.3,4.6,0.5,9.2,17.0,16.5,9.4,18.9,22.6,Wethersfield,CT
3329,1600000US0957670,region.place,2013,65018.0,41603.0,85198.0,66618.0,53369.0,63333.0,88839.0,41563.0,16767.0,45379.0,0.9,3.4,0.4,6.3,14.0,15.4,6.8,17.8,35.0,Orange,CT
3331,1600000US0919480,region.place,2013,44242.0,26534.0,50701.0,40813.0,33333.0,43262.0,76250.0,31609.0,23772.0,37047.0,1.1,8.3,0.7,13.1,30.2,19.9,7.7,11.3,7.7,Derby,CT
3334,1600000US0934180,region.place,2013,41750.0,30369.0,52228.0,40057.0,33774.0,54756.0,80260.0,32395.0,17583.0,42197.0,1.2,10.5,0.3,18.8,22.2,20.7,5.9,11.6,8.8,Groton,CT
3339,1600000US0956690,region.place,2013,48601.0,29081.0,51711.0,42576.0,35269.0,39773.0,51233.0,34214.0,27340.0,45000.0,1.0,6.0,1.2,16.9,25.3,19.7,8.7,19.7,1.5,Oakville,CT
3342,1600000US0963900,region.place,2013,72956.0,33313.0,122300.0,95911.0,63196.0,72188.0,106774.0,35563.0,19044.0,30338.0,0.6,2.8,0.7,5.1,11.7,7.9,7.8,16.3,47.1,Ridgefield,CT
3343,1600000US0965230,region.place,2013,39085.0,17756.0,51964.0,41503.0,28725.0,48787.0,60361.0,32984.0,18938.0,26250.0,5.8,13.7,0.9,13.1,25.1,22.5,5.4,11.8,1.7,Rockville,CT
3352,1600000US0961870,region.place,2013,49825.0,33974.0,58750.0,47750.0,42153.0,63516.0,70208.0,41667.0,23750.0,43472.0,3.5,4.3,0.6,12.5,20.2,19.8,12.2,16.2,10.7,Portland,CT
3353,1600000US0968450,region.place,2013,53238.0,37900.0,65313.0,56121.0,45064.0,68935.0,55795.0,46595.0,30000.0,46856.0,0.4,4.7,1.2,7.7,17.0,26.4,14.9,15.7,12.0,Sherwood Manor,CT
3359,1600000US0915840,region.place,2013,48100.0,31417.0,54453.0,36341.0,34102.0,52500.0,60987.0,30400.0,30114.0,32352.0,3.0,7.9,0.6,15.6,22.8,15.9,7.1,15.6,11.5,Colchester,CT
3366,1600000US0959210,region.place,2013,69911.0,51845.0,70446.0,59250.0,56111.0,67361.0,108947.0,57115.0,31472.0,30978.0,1.3,6.6,1.2,10.3,8.8,15.6,14.2,9.5,32.5,Pemberwick,CT
3375,1600000US0955725,region.place,2013,46307.0,33487.0,74615.0,56964.0,43490.0,45000.0,115117.0,48816.0,36875.0,42500.0,0.8,11.0,0.8,10.7,15.2,15.9,8.1,17.1,20.4,Northwest Harwinton,CT
3376,1600000US0953120,region.place,2013,55221.0,29290.0,57692.0,41200.0,36182.0,33281.0,70893.0,39231.0,28750.0,37137.0,1.6,6.8,2.5,11.2,21.1,15.2,6.2,11.0,24.4,Niantic,CT
3379,1600000US0949180,region.place,2013,33171.0,31172.0,44183.0,43196.0,34565.0,31618.0,50511.0,30268.0,36010.0,43569.0,2.1,17.0,1.6,16.9,26.6,21.5,2.8,4.8,6.7,Moosup,CT
3429,1600000US0902690,region.place,2013,53750.0,28194.0,51726.0,44091.0,36771.0,62083.0,35417.0,42500.0,12105.0,51083.0,4.4,3.2,0.8,16.3,18.7,25.5,13.5,12.0,5.6,Bantam,CT
3438,1600000US1150000,region.place,2013,60383.0,42964.0,67487.0,48526.0,45231.0,61334.0,82921.0,30179.0,22471.0,37914.0,2.1,6.7,1.2,9.8,16.8,14.9,7.7,14.9,25.9,Washington,DC
3446,1600000US1009850,region.place,2013,39529.0,29242.0,48586.0,39008.0,32338.0,48383.0,55662.0,32336.0,30223.0,39620.0,2.3,15.0,0.7,18.0,24.6,16.8,7.7,9.8,5.1,Brookside,DE
3448,1600000US1056500,region.place,2013,47219.0,38180.0,57818.0,46868.0,41044.0,46338.0,61762.0,33398.0,29750.0,41180.0,2.2,5.9,1.2,13.4,23.1,20.3,7.1,16.0,10.8,Pike Creek Valley,DE
3450,1600000US1047420,region.place,2013,30585.0,22912.0,41346.0,33614.0,27193.0,31974.0,55972.0,26802.0,19375.0,32009.0,7.0,19.2,1.0,20.7,17.4,13.0,4.4,10.0,7.3,Milford,DE
3451,1600000US1015310,region.place,2013,39056.0,29836.0,45455.0,38438.0,33125.0,42070.0,58967.0,29868.0,21067.0,43036.0,3.9,12.2,0.7,18.4,25.5,16.9,6.6,7.9,7.9,Claymont,DE
3455,1600000US1064320,region.place,2013,27039.0,20969.0,34628.0,29431.0,25593.0,31912.0,81667.0,26250.0,25938.0,26445.0,6.4,17.3,4.5,32.1,17.1,6.8,5.9,9.3,0.6,Seaford,DE
3457,1600000US1029090,region.place,2013,33952.0,19980.0,27201.0,22310.0,21809.0,42593.0,62321.0,18092.0,21739.0,27857.0,7.9,25.7,4.2,24.7,18.4,9.4,1.3,6.6,1.8,Georgetown,DE
3458,1600000US2919252,region.place,2013,30173.0,20745.0,33785.0,25750.0,22061.0,33491.0,23750.0,25439.0,20417.0,30259.0,8.5,21.2,5.0,29.6,16.3,14.3,2.1,0.8,2.2,De Soto,MO
3460,1600000US1023240,region.place,2013,39555.0,34045.0,46273.0,32205.0,33200.0,36613.0,66875.0,27316.0,63229.0,39044.0,0.5,7.3,3.7,25.2,19.0,18.8,6.5,9.3,9.7,Edgemoor,DE
3467,1600000US1041310,region.place,2013,27917.0,19369.0,38393.0,35689.0,24107.0,41992.0,26591.0,25385.0,11250.0,31786.0,7.3,20.6,4.5,14.9,34.2,9.2,3.1,5.4,0.8,Laurel,DE
3476,1600000US1048330,region.place,2013,36667.0,24432.0,40938.0,35873.0,31487.0,43583.0,53264.0,30577.0,17115.0,30594.0,6.5,13.4,3.5,19.4,20.9,19.1,5.3,8.4,3.5,Milton,DE
3490,1600000US1081350,region.place,2013,32500.0,19335.0,46786.0,40972.0,27406.0,45469.0,70667.0,34167.0,16731.0,26667.0,1.5,20.7,0.8,18.0,23.6,16.9,5.9,9.0,3.6,Wyoming,DE
3508,1600000US1048200,region.place,2013,40288.0,16190.0,85694.0,55833.0,27143.0,55694.0,109107.0,21625.0,23958.0,15865.0,2.9,15.3,4.5,8.3,10.7,11.2,7.9,9.9,29.3,Millville,DE
3546,1600000US1245000,region.place,2013,27115.0,19348.0,30967.0,22806.0,21427.0,40482.0,60139.0,17901.0,15487.0,26445.0,11.8,27.3,2.4,17.3,14.8,10.1,2.7,5.4,8.2,Miami,FL
3551,1600000US1270600,region.place,2013,37431.0,18395.0,42015.0,22483.0,20917.0,41160.0,51420.0,23460.0,15539.0,29101.0,4.3,16.1,3.3,18.4,23.8,12.3,6.0,7.5,8.3,Tallahassee,FL
3556,1600000US1232000,region.place,2013,38033.0,25269.0,40933.0,29262.0,27078.0,42387.0,59954.0,24313.0,17961.0,31485.0,4.6,17.6,1.9,19.3,21.7,13.6,4.1,7.3,9.9,Hollywood,FL
3558,1600000US1245975,region.place,2013,40211.0,30568.0,47129.0,36251.0,32287.0,50330.0,54746.0,27338.0,18703.0,33564.0,4.3,14.4,1.5,17.8,20.7,15.6,6.6,9.9,9.2,Miramar,FL
3559,1600000US1214400,region.place,2013,40697.0,27235.0,52170.0,38927.0,31823.0,46497.0,65066.0,27823.0,21746.0,34809.0,2.0,11.7,1.1,17.7,21.9,14.6,5.6,10.5,14.9,Coral Springs,FL
3565,1600000US1258050,region.place,2013,31660.0,22043.0,37409.0,27068.0,25645.0,41336.0,63611.0,24435.0,19009.0,28672.0,6.2,18.4,2.9,23.3,20.0,10.4,4.3,5.9,8.6,Pompano Beach,FL
3567,1600000US1268350,region.place,2013,32661.0,21727.0,38773.0,28341.0,24662.0,39508.0,48476.0,22868.0,20453.0,28029.0,4.0,18.5,2.7,22.9,26.2,12.8,3.4,4.9,4.6,Spring Hill,FL
3573,1600000US1207300,region.place,2013,44432.0,26669.0,62527.0,41620.0,33678.0,51607.0,76770.0,26995.0,21633.0,31967.0,2.7,8.3,2.7,14.1,17.6,13.3,6.0,11.1,24.2,Boca Raton,FL
3576,1600000US1272145,region.place,2013,36692.0,27980.0,38804.0,30918.0,29330.0,44796.0,61308.0,26318.0,18122.0,32135.0,3.5,16.8,1.9,21.8,24.2,13.8,4.6,6.5,6.9,Town,FL
3579,1600000US1243975,region.place,2013,34907.0,22793.0,42270.0,30419.0,26392.0,45615.0,57579.0,23187.0,15673.0,28200.0,4.1,17.6,2.2,20.0,22.1,12.8,6.4,8.0,6.8,Melbourne,FL
3581,1600000US1216725,region.place,2013,34996.0,24190.0,39342.0,29833.0,26595.0,43441.0,47407.0,25920.0,18488.0,30290.0,3.8,18.4,2.4,20.0,24.6,13.9,4.4,6.3,6.2,Deerfield Beach,FL
3583,1600000US1207875,region.place,2013,38293.0,26844.0,43316.0,32250.0,29618.0,44195.0,46310.0,26016.0,18077.0,33345.0,3.8,17.2,1.0,17.8,23.9,16.4,4.9,8.1,6.9,Boynton Beach,FL
3585,1600000US1276582,region.place,2013,48787.0,30793.0,89009.0,61223.0,43015.0,51909.0,82145.0,27677.0,25385.0,36388.0,2.3,8.2,2.4,8.1,14.9,12.0,6.0,14.2,31.9,Weston,FL
3592,1600000US1270675,region.place,2013,38277.0,26648.0,41051.0,30732.0,27945.0,40398.0,51024.0,25946.0,19589.0,31280.0,4.3,16.3,1.6,20.8,23.3,14.4,7.0,8.3,4.0,Tamarac,FL
3598,1600000US1271625,region.place,2013,41208.0,13607.0,43250.0,18646.0,16113.0,21250.0,22298.0,17019.0,15371.0,12396.0,4.9,12.9,2.6,23.2,16.5,12.1,4.7,5.7,17.4,The Villages,FL
3601,1600000US1258575,region.place,2013,36450.0,24824.0,43812.0,32666.0,29026.0,44041.0,59535.0,25761.0,22054.0,30887.0,4.2,14.6,1.7,20.6,25.5,13.6,4.7,6.4,8.7,Port Orange,FL
3606,1600000US1213275,region.place,2013,42281.0,31113.0,47308.0,38327.0,35418.0,47240.0,54203.0,27799.0,33902.0,39614.0,1.5,12.2,1.5,15.9,26.4,16.8,6.7,9.8,9.2,Coconut Creek,FL
3608,1600000US1271569,region.place,2013,34484.0,26689.0,40909.0,34289.0,30939.0,40064.0,60275.0,25129.0,24014.0,34008.0,5.6,18.1,1.8,19.9,20.6,16.7,4.8,6.8,5.7,The Hammocks,FL
3615,1600000US1214250,region.place,2013,51075.0,29847.0,91110.0,63295.0,42986.0,54510.0,98492.0,27718.0,21055.0,36012.0,2.0,7.9,2.1,11.0,11.8,13.4,4.0,12.4,35.4,Coral Gables,FL
3616,1600000US1217935,region.place,2013,42320.0,31587.0,53854.0,47852.0,40610.0,51495.0,66149.0,29984.0,31144.0,32964.0,4.6,11.2,1.4,14.3,19.0,16.5,5.8,13.2,14.0,Doral,FL
3619,1600000US1275875,region.place,2013,41185.0,30993.0,57869.0,48485.0,38735.0,55102.0,58431.0,30385.0,35019.0,36118.0,2.1,10.5,2.6,13.9,22.4,18.3,8.4,13.0,8.8,Wesley Chapel,FL
3620,1600000US1271900,region.place,2013,30650.0,22663.0,42831.0,32652.0,27118.0,46160.0,52169.0,25457.0,18262.0,29522.0,5.1,16.9,1.8,22.7,22.1,13.3,5.9,7.2,5.0,Titusville,FL
3621,1600000US1201700,region.place,2013,37981.0,24472.0,45697.0,37062.0,31166.0,48274.0,56458.0,26614.0,17775.0,36910.0,3.4,17.5,1.1,14.5,22.8,15.3,5.5,10.2,9.7,Apopka,FL
3629,1600000US1249350,region.place,2013,33520.0,21056.0,41546.0,24384.0,22543.0,40439.0,51804.0,22341.0,15069.0,26564.0,4.3,19.2,2.6,18.8,22.6,12.7,6.3,7.8,5.7,North Fort Myers,FL
3633,1600000US1228452,region.place,2013,31583.0,22433.0,41007.0,30832.0,26536.0,45863.0,41880.0,24450.0,19355.0,29588.0,4.5,21.5,1.8,19.2,21.5,12.3,3.4,7.8,8.0,Hallandale Beach,FL
3635,1600000US1271564,region.place,2013,38312.0,27891.0,50532.0,39832.0,32552.0,50353.0,63592.0,31156.0,23489.0,38685.0,3.2,14.6,0.9,17.3,20.9,18.6,6.1,11.0,7.4,The Acreage,FL
3644,1600000US1239075,region.place,2013,30801.0,17032.0,25332.0,20203.0,19282.0,35050.0,34659.0,22614.0,16000.0,27079.0,9.2,32.5,3.2,18.9,17.4,9.5,1.8,4.2,3.3,Lake Worth,FL
3645,1600000US1257550,region.place,2013,33597.0,25497.0,40198.0,31705.0,28643.0,51898.0,65417.0,28996.0,16502.0,35440.0,5.0,17.5,1.6,21.6,23.4,14.3,5.2,5.9,5.5,Plant City,FL
3656,1600000US1260975,region.place,2013,30596.0,21974.0,36989.0,25936.0,23343.0,43594.0,49444.0,22833.0,17810.0,29529.0,7.9,22.1,2.5,19.3,20.9,10.4,5.0,6.5,5.4,Riviera Beach,FL
3658,1600000US1219206,region.place,2013,46705.0,30776.0,76773.0,51576.0,38455.0,58094.0,84798.0,29225.0,20844.0,30974.0,0.6,10.5,1.0,12.5,17.9,12.4,5.7,12.6,26.8,East Lake,FL
3660,1600000US1276487,region.place,2013,24856.0,18673.0,27303.0,20688.0,19761.0,30000.0,23903.0,21735.0,15281.0,25377.0,9.2,32.9,4.1,20.9,20.5,7.3,1.3,2.4,1.4,West Little River,FL
3661,1600000US1214125,region.place,2013,52556.0,36000.0,65495.0,51436.0,41800.0,57361.0,74495.0,30412.0,21691.0,41396.0,1.5,9.6,1.4,11.0,17.2,15.0,8.7,14.7,20.9,Cooper City,FL
3663,1600000US1216335,region.place,2013,36719.0,21575.0,41038.0,32855.0,27115.0,44109.0,52105.0,22269.0,15441.0,35435.0,5.4,16.0,2.3,18.2,24.2,12.9,5.5,7.9,7.6,Dania Beach,FL
3666,1600000US1209415,region.place,2013,27327.0,21584.0,30040.0,23476.0,22630.0,31974.0,35764.0,22932.0,18578.0,28176.0,8.8,27.1,2.4,28.2,21.5,6.1,1.7,2.5,1.7,Buenaventura Lakes,FL
3671,1600000US1222660,region.place,2013,46669.0,32612.0,65551.0,56351.0,43518.0,55767.0,76682.0,38306.0,31653.0,39474.0,1.6,5.4,2.7,10.3,19.3,18.5,9.7,14.3,18.2,Fleming Island,FL
3673,1600000US1278300,region.place,2013,43852.0,27699.0,68466.0,41123.0,34163.0,47759.0,90321.0,27799.0,24560.0,29902.0,5.0,9.6,1.4,13.6,16.0,11.4,4.4,8.6,30.0,Winter Park,FL
3682,1600000US1236550,region.place,2013,31421.0,23255.0,38329.0,30442.0,26729.0,34077.0,45958.0,25845.0,20867.0,29121.0,4.6,20.3,3.7,20.9,22.6,13.7,2.4,5.1,6.7,Key West,FL
3684,1600000US1278800,region.place,2013,31747.0,21428.0,38341.0,28705.0,25246.0,48400.0,76225.0,20201.0,14852.0,34078.0,5.5,21.0,2.3,19.4,25.0,11.5,3.7,6.5,5.1,Wright,FL
3685,1600000US1271400,region.place,2013,40430.0,26959.0,41595.0,30684.0,28886.0,42583.0,59783.0,27482.0,14076.0,32434.0,3.0,12.1,2.0,21.3,24.3,14.4,6.8,6.1,10.0,Temple Terrace,FL
3689,1600000US1254275,region.place,2013,47141.0,32379.0,77031.0,59119.0,42470.0,61942.0,77250.0,32549.0,20833.0,40740.0,3.8,8.7,1.0,11.5,16.5,14.1,2.7,14.3,27.4,Palmetto Bay,FL
3699,1600000US1250630,region.place,2013,48993.0,34294.0,52450.0,41901.0,38345.0,46438.0,57585.0,26810.0,40263.0,41465.0,3.3,8.4,0.3,13.4,22.3,27.4,2.6,13.4,8.9,Oakleaf Plantation,FL
3707,1600000US1230025,region.place,2013,26034.0,21391.0,31866.0,27486.0,24088.0,30759.0,37593.0,23368.0,21135.0,35253.0,11.9,27.4,1.2,18.2,22.2,10.8,2.6,3.4,2.3,Hialeah Gardens,FL
