,zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools
24,11103092,Santa Clarita,Los Angeles,2,3,2,1238,6209,34433597,-118478751,1963,364000,91351,1,0,2,7,0
25,11103192,Santa Clarita,Los Angeles,3,4,3,2166,6424,34434583,-118490995,1988,359364,91351,1,1,2,4,1
26,11104095,Santa Clarita,Los Angeles,2,4,2,1628,8650,34430655,-118465172,1967,282088,91351,1,0,2,7,1
27,11104195,Santa Clarita,Los Angeles,2,4,2,1628,7220,34433466,-118465694,1968,292626,91351,1,1,2,7,1
28,11104364,Santa Clarita,Los Angeles,2,3,2,1270,4656,34434433,-118472733,1984,292627,91351,1,1,2,4,0
29,11104553,Santa Clarita,Los Angeles,2,4,2,1144,6502,34423165,-118473597,1961,187851,91351,1,0,2,7,0
30,11104968,Santa Clarita,Los Angeles,2,4,2,1144,5776,34418194,-118468583,1961,259293,91351,1,0,2,7,0
31,11105214,Santa Clarita,Los Angeles,2,4,2,1269,7087,34423729,-118461752,1963,191812,91351,1,0,2,7,1
32,11105591,Santa Clarita,Los Angeles,2,2,2,795,312806,34421000,-118455000,1987,144990,91351,1,1,2,4,1
33,11106019,Santa Clarita,Los Angeles,2,2,2,1114,843582,34413600,-118467000,1981,225000,91351,1,1,2,7,0
34,11106165,Santa Clarita,Los Angeles,3,3,3,2526,37887,34419750,-118459526,1988,338016,91351,1,1,2,4,0
35,11106530,Santa Clarita,Los Angeles,1,1,1,635,188585,34413300,-118463000,1984,100418,91351,1,1,2,7,1
36,11107231,Santa Clarita,Los Angeles,2,4,2,1694,7050,34427930,-118476892,1965,365167,91351,1,0,2,7,0
37,11107500,Santa Clarita,Los Angeles,2,5,2,1809,6102,34424057,-118476109,1965,265126,91351,1,0,2,7,0
38,11107569,Santa Clarita,Los Angeles,3,4,3,1889,7537,34423179,-118479347,1966,274942,91351,1,1,2,7,0
39,11107592,Santa Clarita,Los Angeles,2,4,2,1642,5980,34423157,-118475129,1966,238205,91351,1,0,2,7,0
40,11107715,Santa Clarita,Los Angeles,2,3,2,1300,6663,34420822,-118476453,1966,226723,91351,1,1,2,7,0
41,11107838,Santa Clarita,Los Angeles,2,3,2,1430,7121,34456132,-118531347,1988,330008,91350,1,1,2,4,1
42,11107961,Santa Clarita,Los Angeles,2,3,2,1787,7655,34452658,-118532888,1959,254704,91350,1,1,2,7,0
43,11108061,Santa Clarita,Los Angeles,3,4,3,1718,6182,34452307,-118525166,1988,469000,91350,1,1,2,4,0
44,11108184,Santa Clarita,Los Angeles,2,3,2,1230,6777,34447119,-118533117,1957,275180,91350,1,0,2,7,1
45,11108384,Santa Clarita,Los Angeles,1,2,1,842,13898,34440630,-118532605,1950,84559,91350,1,0,7,7,0
46,11108430,Santa Clarita,Los Angeles,2,4,2,1260,12044,34440546,-118526099,1973,283218,91350,1,1,2,7,1
47,11108722,Santa Clarita,Los Angeles,2,4,2,1654,15904,34446177,-118529446,1980,334944,91350,1,1,2,7,0
48,11108968,Santa Clarita,Los Angeles,3,3,3,1672,8457,34444774,-118519607,1989,391909,91350,1,1,2,4,0
49,11109137,Santa Clarita,Los Angeles,3,3,3,2255,11981,34439683,-118530996,1953,371931,91350,1,1,2,4,1
50,11109552,Santa Clarita,Los Angeles,2,3,2,1188,6439,34436558,-118521986,1964,50742,91350,1,0,2,7,0
51,11110220,Santa Clarita,Los Angeles,2,3,2,1418,7576,34450969,-118504145,1966,282176,91350,1,0,2,7,0
52,11110343,Santa Clarita,Los Angeles,2,4,2,1604,7376,34451989,-118500851,1966,157020,91350,1,0,2,7,0
53,11110735,Santa Clarita,Los Angeles,1,2,1,834,125560,34452462,-118496660,1976,196000,91350,1,1,2,7,0
54,11110835,Santa Clarita,Los Angeles,1,2,1,834,148023,34450903,-118498391,1977,91164,91350,1,1,2,7,0
55,11110965,Santa Clarita,Los Angeles,2,3,2,2014,3614,34439279,-118534265,1975,274384,91354,1,1,2,7,0
56,11111065,Santa Clarita,Los Angeles,3,3,3,2032,3743,34440588,-118533776,1975,255954,91354,1,1,2,7,0
57,11111357,Santa Clarita,Los Angeles,2,3,2,1319,8653,34437717,-118537972,1978,126106,91354,1,1,2,7,0
58,11112415,Santa Clarita,Los Angeles,3,4,3,1788,4742,34448888,-118551623,1996,509000,91354,1,1,2,4,0
59,11112538,Santa Clarita,Los Angeles,3,3,3,1260,21251,34449962,-118554519,1995,360000,91354,1,1,2,4,0
60,11113058,Santa Clarita,Los Angeles,3,4,3,2288,5117,34451206,-118542237,1996,396301,91354,1,1,2,4,1
61,11113150,Santa Clarita,Los Angeles,4,5,4,2937,5550,34458954,-118543103,1997,520265,91354,1,1,2,4,0
62,11113196,Santa Clarita,Los Angeles,4,5,4,2979,5061,34455197,-118541674,1997,452373,91354,1,1,2,4,0
63,11118316,Santa Clarita,Los Angeles,2,4,2,1637,9388,34436338,-118535442,1973,223652,91354,1,1,2,7,1
64,11118659,Santa Clarita,Los Angeles,3,3,3,1588,6889,34433601,-118552887,1989,503300,91354,1,1,2,4,1
65,11118759,Santa Clarita,Los Angeles,2,2,2,1445,6959,34436747,-118553671,1992,399749,91354,1,1,2,4,0
66,11118859,Santa Clarita,Los Angeles,3,3,3,1928,6848,34433174,-118546430,1989,527672,91354,1,1,2,4,1
67,11118959,Santa Clarita,Los Angeles,3,3,3,1548,5583,34437003,-118546679,1990,275109,91354,1,1,2,4,0
68,11119082,Santa Clarita,Los Angeles,2,2,2,1355,7999,34433309,-118550294,1989,383072,91354,1,1,2,4,1
69,11119720,Santa Clarita,Los Angeles,3,4,3,2508,8368,34440699,-118539862,1994,489813,91354,1,1,2,4,1
70,11119843,Santa Clarita,Los Angeles,3,3,3,1714,129992,34431174,-118548865,1996,443690,91354,1,1,2,4,0
71,11119943,Santa Clarita,Los Angeles,3,2,3,1106,5903,34429500,-118550000,1995,208921,91354,1,1,2,4,0
73,11121609,Santa Clarita,Los Angeles,2,3,2,1526,6688,34456595,-118499417,1978,404000,91350,1,1,2,4,0
74,11122047,Santa Clarita,Los Angeles,3,4,3,2566,40122,34445258,-118496462,1984,383957,91350,1,1,2,4,0
75,11122147,Santa Clarita,Los Angeles,3,4,3,2070,12220,34446074,-118502389,1986,489000,91350,1,1,2,4,0
76,11122316,Santa Clarita,Los Angeles,3,4,3,2240,6678,34447151,-118490379,1983,384226,91350,1,1,2,4,0
77,11122339,Santa Clarita,Los Angeles,2,3,2,1194,7866,34438183,-118485747,1984,216206,91351,1,1,2,4,0
78,11122439,Santa Clarita,Los Angeles,2,3,2,1428,9928,34440165,-118483442,1984,335789,91351,1,1,2,4,0
79,11127413,Northridge,Los Angeles,4,4,4,3424,12466,34297102,-118547478,1966,746201,96356,1,1,2,4,1
80,11127513,Northridge,Los Angeles,3,4,3,2366,9513,34297609,-118542288,1966,128264,96356,1,1,2,4,0
81,11128812,Northridge,Los Angeles,3,3,3,1598,362718,34274900,-118550000,1980,446000,96356,1,1,2,4,1
82,11128912,Northridge,Los Angeles,3,2,3,1282,314954,34273900,-118550000,1983,348581,96356,1,1,2,4,1
83,11129135,Northridge,Los Angeles,3,5,3,2494,8698,34281919,-118550245,1974,147903,96356,1,1,2,4,0
84,11129235,Northridge,Los Angeles,3,4,3,2301,10470,34280352,-118548463,1974,510247,96356,1,1,2,4,1
85,11129335,Northridge,Los Angeles,3,4,3,2301,11327,34279011,-118549527,1975,429197,96356,1,1,2,4,1
86,11129435,Santa Clarita,Los Angeles,2,3,2,1263,5956,34458130,-118534298,1977,166254,91354,1,1,2,7,0
87,11129481,Santa Clarita,Los Angeles,3,3,3,1733,7082,34458872,-118535732,1983,323682,91354,1,1,2,7,0
88,11129581,Santa Clarita,Los Angeles,2,3,2,1263,9700,34457181,-118538763,1983,399000,91354,1,1,2,7,0
89,11129781,Santa Clarita,Los Angeles,2,4,2,1624,6047,34455077,-118536064,1979,164407,91354,1,1,2,7,0
90,11129904,Santa Clarita,Los Angeles,2,4,2,1624,6597,34452251,-118539003,1978,357108,91354,1,1,2,7,0
91,11130004,Santa Clarita,Los Angeles,2,3,2,1263,5738,34452181,-118535714,1978,352720,91354,1,1,2,7,0
92,11130142,Santa Clarita,Los Angeles,2,3,2,1500,7993,34366575,-118554089,1966,443691,96352,1,0,2,7,0
93,11130365,Santa Clarita,Los Angeles,3,4,3,2288,11249,34365578,-118548068,1979,282434,96352,1,1,2,4,0
94,11130464,Santa Clarita,Los Angeles,3,3,3,1278,109001,34377633,-118560458,1979,212132,96352,1,1,2,4,0
95,11130487,Santa Clarita,Los Angeles,2,2,2,988,398589,34377309,-118558682,1966,175890,96352,1,1,2,7,1
96,11130587,Santa Clarita,Los Angeles,1,1,1,827,398589,34376457,-118557246,1966,178020,96352,1,1,2,7,0
97,11130656,Santa Clarita,Los Angeles,2,3,2,2040,6655,34376238,-118560546,1976,226794,96352,1,1,2,7,0
98,11137387,Santa Clarita,Los Angeles,3,4,3,3699,108010,34367907,-118531201,1964,1208347,96352,1,0,20,4,1
99,11137433,Santa Clarita,Los Angeles,2,3,2,1600,9763,34370672,-118532185,1961,557380,96352,1,0,2,7,0
100,11137479,Santa Clarita,Los Angeles,3,4,3,1929,12072,34369651,-118534454,1958,496422,96352,1,0,2,4,1
101,11137899,Santa Clarita,Los Angeles,4,3,4,3140,6731,34359313,-118540192,1984,574574,96352,1,1,2,4,1
102,11137922,Santa Clarita,Los Angeles,3,4,3,2930,15781,34359833,-118540056,1984,452538,96352,1,1,2,4,0
103,11137945,Santa Clarita,Los Angeles,3,4,3,3059,11042,34364708,-118543351,1987,618000,96352,1,1,2,4,1
104,11137968,Santa Clarita,Los Angeles,5,4,5,3757,8044,34365099,-118543328,1987,606769,96352,1,1,2,4,0
105,11139026,Santa Clarita,Los Angeles,3,4,3,3409,9239,34376523,-118543667,1989,382273,96352,1,1,2,4,0
106,11139217,Santa Clarita,Los Angeles,3,3,3,2540,12592,34373319,-118534610,1960,394535,96352,1,0,2,7,0
107,11139469,Santa Clarita,Los Angeles,2,2,2,1606,8522,34372976,-118541841,1976,316323,96352,1,1,2,4,0
108,11139891,Santa Clarita,Los Angeles,2,3,2,2816,19525,34371285,-118534727,1934,472570,96352,1,1,2,4,1
109,11140216,Santa Clarita,Los Angeles,2,4,2,1716,4687,34378747,-118523434,1998,124248,96352,1,0,2,4,0
110,11140527,Santa Clarita,Los Angeles,3,3,3,2138,22545,34383265,-118516036,1964,586076,96352,1,1,2,4,1
111,11140740,Santa Clarita,Los Angeles,3,3,3,1265,181847,34368700,-118510000,1984,176769,96352,1,1,2,7,1
112,11141250,Santa Clarita,Los Angeles,2,2,2,888,132272,34378100,-118511000,1990,215500,96352,1,1,2,4,0
113,11142135,Santa Clarita,Los Angeles,3,4,3,2747,111446,34390528,-118524386,1980,724966,96352,1,1,2,4,0
114,11143129,Santa Clarita,Los Angeles,2,2,2,925,231200,34402763,-118483611,1984,287531,96352,1,1,2,4,1
115,11143252,Santa Clarita,Los Angeles,2,2,2,1419,516746,34404499,-118486053,1985,326393,96352,1,1,2,4,1
116,11143500,Santa Clarita,Los Angeles,3,3,3,1466,426781,34406612,-118485933,1993,355487,91351,1,1,2,4,0
117,11143523,Santa Clarita,Los Angeles,3,4,3,1882,462910,34417227,-118487253,1986,249061,91351,1,1,2,4,0
118,11143623,Santa Clarita,Los Angeles,3,3,3,1471,200375,34416110,-118483558,1988,300888,91351,1,1,2,4,0
119,11143723,Santa Clarita,Los Angeles,3,4,3,1882,453252,34414222,-118482891,1985,297132,91351,1,1,2,4,1
120,11144269,Santa Clarita,Los Angeles,2,2,2,907,815788,34420900,-118489000,1988,224000,91351,1,1,2,4,0
121,11144392,Santa Clarita,Los Angeles,2,2,2,910,815788,34420900,-118489000,1988,219919,91351,1,1,2,4,0
122,11144515,Santa Clarita,Los Angeles,2,3,2,964,532639,34418400,-118489000,1988,130636,91351,1,1,2,4,1
123,11144615,Santa Clarita,Los Angeles,2,2,2,910,532639,34418400,-118489000,1986,145330,91351,1,1,2,4,0
124,11144684,Santa Clarita,Los Angeles,3,3,3,1635,7857,34402515,-118531118,1986,339657,91350,1,1,2,4,0
125,11144784,Santa Clarita,Los Angeles,3,3,3,1635,9435,34401016,-118531902,1987,507700,91350,1,1,2,4,0
126,11144853,Santa Clarita,Los Angeles,3,4,3,1877,6168,34400707,-118526823,1987,321502,91350,1,1,2,4,1
127,11144976,Santa Clarita,Los Angeles,3,3,3,1505,3418,34398920,-118477858,1988,307289,96352,1,1,2,4,0
128,11145337,Santa Clarita,Los Angeles,2,3,2,970,236712,34398300,-118482000,1989,247000,96352,1,1,2,4,0
129,11145414,Santa Clarita,Los Angeles,2,2,2,964,461495,34416800,-118491000,1987,218274,91351,1,1,2,4,0
130,11145514,Santa Clarita,Los Angeles,2,3,2,994,461495,34416800,-118491000,1989,154726,91351,1,1,2,4,0
131,11146618,Santa Clarita,Los Angeles,2,3,2,1572,6857,34435901,-118404738,1968,161428,96401,1,1,2,7,1
132,11146864,Santa Clarita,Los Angeles,3,4,3,2176,7037,34431890,-118404007,1968,470900,96401,1,1,2,7,0
133,11146987,Santa Clarita,Los Angeles,3,4,3,1601,297252,34429086,-118413502,1982,284612,96401,1,1,2,4,0
134,11147110,Santa Clarita,Los Angeles,3,3,3,1838,392023,34430554,-118411500,1983,273803,96401,1,1,2,4,0
135,11147210,Santa Clarita,Los Angeles,2,3,2,944,335575,34431093,-118407997,1983,217216,96401,1,1,2,4,0
136,11147379,Santa Clarita,Los Angeles,3,4,3,1911,157951,34435082,-118406036,1988,312505,96401,1,1,2,4,0
137,11147899,Santa Clarita,Los Angeles,2,3,2,1125,130137,34424471,-118426441,1980,320000,96401,1,1,2,4,0
138,11147991,Santa Clarita,Los Angeles,3,5,3,2354,8778,34428207,-118427825,1969,249050,96401,1,1,2,7,0
139,11148264,Santa Clarita,Los Angeles,2,3,2,1479,12067,34430712,-118426662,1966,141308,96401,1,1,2,7,0
140,11148633,Santa Clarita,Los Angeles,3,4,3,2217,20203,34426960,-118432878,1980,353541,96401,1,1,2,4,1
141,11148733,Santa Clarita,Los Angeles,2,3,2,1348,66799,34433290,-118428880,1984,275810,96401,1,1,2,7,1
142,11152532,Santa Clarita,Los Angeles,2,4,2,1400,10319,34400644,-118469283,1965,147591,96352,1,0,2,7,0
143,11152724,Santa Clarita,Los Angeles,2,3,2,1192,7429,34395152,-118469636,1966,252924,96352,1,0,2,7,0
144,11152816,Santa Clarita,Los Angeles,3,4,3,1844,11649,34396196,-118471445,1966,151677,96352,1,1,2,4,0
145,11153008,Santa Clarita,Los Angeles,3,5,3,1862,9716,34392813,-118477679,1968,325439,96352,1,0,2,7,1
146,11153115,Santa Clarita,Los Angeles,3,3,3,1132,125129,34402100,-118464000,1992,209143,96352,1,1,2,7,0
147,11153215,Santa Clarita,Los Angeles,3,3,3,1176,112113,34402200,-118467000,1990,172440,96352,1,1,2,7,1
148,11153537,Santa Clarita,Los Angeles,3,3,3,1176,111062,34403500,-118467000,1990,285594,96352,1,1,2,7,1
149,11154037,Santa Clarita,Los Angeles,3,3,3,1268,91867,34415100,-118446000,1984,153907,96401,1,1,2,7,1
150,11154481,Santa Clarita,Los Angeles,2,3,2,1556,8697,34421700,-118434605,1970,266625,96401,1,1,2,7,0
151,11154595,Santa Clarita,Los Angeles,3,4,3,2151,11293,34422477,-118439459,1985,515000,96401,1,1,2,4,1
152,11154818,Santa Clarita,Los Angeles,2,2,2,848,125051,34422400,-118449000,1984,200000,96401,1,1,2,7,1
153,11155418,Santa Clarita,Los Angeles,3,3,3,1521,111809,34415100,-118447000,1984,270000,96401,1,1,2,7,1
154,11155518,Santa Clarita,Los Angeles,3,2,3,1127,119805,34415000,-118449000,1985,141087,96401,1,1,2,7,1
155,11156078,Santa Clarita,Los Angeles,2,2,2,1085,55080,34406300,-118452000,1993,181218,96401,1,1,2,7,0
156,11157205,Santa Clarita,Los Angeles,5,5,5,4210,93204,34394303,-118409249,1981,1100400,96401,1,1,2,1,1
157,11157771,Santa Clarita,Los Angeles,3,4,3,2211,7693,34442614,-118507951,1971,292080,91350,1,1,2,7,0
158,11157863,Santa Clarita,Los Angeles,2,3,2,1546,3812,34442691,-118509611,1971,380000,91350,1,0,2,7,0
159,11158231,Santa Clarita,Los Angeles,2,3,2,1188,5965,34430655,-118529998,1963,155361,91350,1,0,2,7,0
160,11159747,Santa Clarita,Los Angeles,2,2,2,1041,676029,34389300,-118562000,1971,175807,96378,1,1,2,4,0
161,11159847,Santa Clarita,Los Angeles,1,1,1,722,676029,34389300,-118562000,1977,158095,96378,1,1,2,4,0
162,11159947,Santa Clarita,Los Angeles,2,2,2,1054,2176,34390032,-118559352,1975,327000,96378,1,1,2,4,0
163,11160223,Santa Clarita,Los Angeles,3,5,3,2807,51591,34382159,-118557305,1977,305801,96378,1,1,2,4,1
164,11160505,Santa Clarita,Los Angeles,2,3,2,1156,8489,34456677,-118388222,1974,167611,96401,1,1,2,7,1
165,11160780,Santa Clarita,Los Angeles,2,3,2,1342,7760,34441932,-118388864,1996,250174,96401,1,1,2,4,0
166,11160872,Santa Clarita,Los Angeles,2,3,2,1043,8567,34443408,-118392597,1969,173787,96401,1,0,2,7,0
167,11160972,Santa Clarita,Los Angeles,2,4,2,1681,7215,34445547,-118396574,1970,368212,96401,1,0,2,7,0
168,11161095,Santa Clarita,Los Angeles,2,4,2,1635,7196,34445456,-118392011,1969,448280,96401,1,1,2,7,1
169,11161202,Santa Clarita,Los Angeles,2,4,2,1362,7335,34446705,-118389857,1973,382000,96401,1,0,2,7,0
170,11161225,Santa Clarita,Los Angeles,2,3,2,1201,6705,34449298,-118388979,1978,295353,96401,1,1,2,7,0
171,11161663,Santa Clarita,Los Angeles,3,4,3,2450,8562,34449812,-118394426,1989,368745,96401,1,1,2,4,0
172,11161763,Santa Clarita,Los Angeles,3,3,3,1828,5152,34443803,-118388761,1992,442000,96401,1,1,2,4,1
173,11161909,Santa Clarita,Los Angeles,3,4,3,2363,6077,34439149,-118386182,1996,396010,96401,1,1,2,4,1
174,11161955,Santa Clarita,Los Angeles,3,4,3,2104,15517,34441973,-118383404,1997,375816,96401,1,1,2,4,0
175,11162101,Santa Clarita,Los Angeles,3,5,3,2292,26948,34435289,-118381430,1998,425375,96401,1,1,2,4,0
176,11162865,Santa Clarita,Los Angeles,2,4,2,1783,6154,34388737,-118537141,1954,316295,96352,1,0,7,7,0
177,11163046,Santa Clarita,Los Angeles,2,3,2,1036,5539,34384280,-118534655,1932,293150,96352,2,0,2,7,0
178,11163183,Santa Clarita,Los Angeles,1,2,1,1144,7387,34381755,-118536100,1956,228143,96352,1,0,7,7,0
179,11163942,Santa Clarita,Los Angeles,2,3,2,1429,5782,34387033,-118545476,1968,294623,96378,1,1,2,7,0
180,11164241,Santa Clarita,Los Angeles,3,5,3,2327,6694,34385932,-118555546,1968,555888,96378,1,1,2,4,1
181,11164571,Santa Clarita,Los Angeles,2,4,2,1743,6419,34381133,-118554625,1968,338508,96378,1,1,2,7,0
182,11164694,Santa Clarita,Los Angeles,2,3,2,1769,5815,34388307,-118550150,1972,393327,96378,1,1,2,4,0
183,11164840,Santa Clarita,Los Angeles,2,3,2,1196,4931,34393443,-118557101,1976,365165,96378,1,1,2,7,0
184,11165032,Santa Clarita,Los Angeles,4,6,4,2320,5763,34392876,-118552576,1969,175734,96378,1,1,2,4,0
185,11165055,Santa Clarita,Los Angeles,3,4,3,2225,5729,34391884,-118551008,1973,550000,96378,1,1,2,4,0
186,11165224,Santa Clarita,Los Angeles,3,4,3,2354,6483,34389767,-118552832,1975,367984,96378,1,1,2,4,1
187,11165247,Santa Clarita,Los Angeles,3,3,3,2246,6180,34389113,-118555567,1976,166167,96378,1,1,2,4,1
188,11165393,Santa Clarita,Los Angeles,2,3,2,1051,4806,34392786,-118558594,1976,313429,96378,1,1,2,7,0
189,11165653,Santa Clarita,Los Angeles,2,3,2,1514,6344,34393843,-118549146,1974,227966,96378,1,1,2,7,0
190,11165799,Santa Clarita,Los Angeles,2,3,2,1514,5643,34394365,-118547701,1971,271013,96378,1,1,2,7,1
191,11166160,Santa Clarita,Los Angeles,2,2,2,1426,5689,34398760,-118542766,1974,71271,96378,1,1,2,7,0
192,11166260,Santa Clarita,Los Angeles,2,3,2,1540,6691,34389280,-118543397,1977,371010,96378,1,1,2,4,0
193,11166890,Santa Clarita,Los Angeles,2,3,2,1018,3478,34403236,-118541369,1979,339825,96378,1,1,2,7,0
194,11166990,Santa Clarita,Los Angeles,2,2,2,864,4038,34402618,-118540679,1979,356992,96378,1,1,2,7,0
195,11167013,Santa Clarita,Los Angeles,2,2,2,864,3591,34404466,-118543487,1982,356200,96378,1,1,2,7,0
196,11167205,Santa Clarita,Los Angeles,2,4,2,1857,7110,34406150,-118547691,1984,313119,96378,1,1,2,4,1
197,11167351,Santa Clarita,Los Angeles,3,4,3,2025,7047,34404274,-118544679,1982,349775,96378,1,1,2,4,0
198,11167497,Santa Clarita,Los Angeles,2,3,2,1128,3360,34407542,-118541626,1984,354894,96378,1,1,2,7,0
199,11167932,Santa Clarita,Los Angeles,2,4,2,1324,5531,34396464,-118557771,1978,302891,96378,1,1,2,4,0
200,11168039,Santa Clarita,Los Angeles,3,3,3,1718,5728,34409047,-118550883,1984,398140,96378,1,1,2,4,0
201,11168185,Santa Clarita,Los Angeles,2,2,2,864,3550,34410180,-118543165,1984,228999,96378,1,1,2,7,0
202,11168231,Santa Clarita,Los Angeles,2,2,2,864,6765,34411665,-118545382,1985,238078,96378,1,1,2,7,0
203,11168331,Santa Clarita,Los Angeles,2,3,2,1336,5040,34412284,-118547796,1985,357109,96378,1,1,2,4,0
204,11168354,Santa Clarita,Los Angeles,2,3,2,1614,5523,34411098,-118547434,1985,545688,96378,1,1,2,4,0
205,11169022,Santa Clarita,Los Angeles,2,3,2,1920,716115,34400700,-118562000,1989,376479,96378,1,1,2,4,0
206,11169122,Santa Clarita,Los Angeles,2,3,2,1678,5187,34397662,-118563988,1986,437060,96378,1,1,2,4,0
207,11169482,Santa Clarita,Los Angeles,2,2,2,940,531830,34412300,-118552000,1986,225740,96378,1,1,2,4,1
208,11169805,Santa Clarita,Los Angeles,2,2,2,922,642861,34403000,-118553000,1988,280000,96378,1,1,2,4,1
209,11169905,Santa Clarita,Los Angeles,2,2,2,922,642861,34403000,-118553000,1988,185196,96378,1,1,2,4,1
210,11169974,Santa Clarita,Los Angeles,5,6,5,3648,8163,34407904,-118558857,1988,742954,96378,1,1,2,1,1
211,11170542,Santa Clarita,Los Angeles,1,1,1,801,315437,34405000,-118557000,1988,206457,96378,1,1,2,4,0
212,11170742,Santa Clarita,Los Angeles,2,2,2,925,842267,34410700,-118561000,1989,195765,96378,1,1,2,7,0
213,11170842,Santa Clarita,Los Angeles,2,2,2,970,842267,34410700,-118561000,1989,198613,96378,1,1,2,7,0
214,11170988,Santa Clarita,Los Angeles,2,2,2,1000,842267,34410700,-118561000,1989,285000,96378,1,1,2,7,0
215,11171088,Santa Clarita,Los Angeles,1,1,1,835,842267,34410700,-118561000,1989,218300,96378,1,1,2,7,0
216,11171188,Santa Clarita,Los Angeles,1,1,1,835,842267,34410700,-118561000,1989,218300,96378,1,1,2,7,0
217,11171288,Santa Clarita,Los Angeles,2,2,2,1052,351525,34411900,-118563000,1989,159847,96378,1,1,2,4,1
218,11171388,Santa Clarita,Los Angeles,1,2,1,1164,351525,34411900,-118563000,1989,153577,96378,1,1,2,4,1
219,11172709,Santa Clarita,Los Angeles,2,2,2,864,353084,34404100,-118470000,1964,94057,96352,1,1,2,7,0
220,11172832,Santa Clarita,Los Angeles,2,2,2,864,281364,34403500,-118472000,1963,150000,96352,1,1,2,7,0
221,11172955,Santa Clarita,Los Angeles,2,2,2,864,507315,34402100,-118472000,1963,154000,96352,1,1,2,7,0
223,11173193,Santa Clarita,Los Angeles,2,2,2,1178,572907,34403164,-118478734,1970,266794,96352,1,1,2,4,0
224,11173639,Santa Clarita,Los Angeles,2,4,2,1969,9210,34406230,-118481464,1998,511000,91351,1,1,2,4,1
225,11173662,Santa Clarita,Los Angeles,3,4,3,2243,9314,34407296,-118477276,1997,457000,91351,1,1,2,4,0
226,11179711,Northridge,Los Angeles,3,4,3,2435,11146,34295078,-118540295,1969,432540,96356,1,1,2,4,1
227,11179811,Northridge,Los Angeles,2,3,2,1560,9953,34290531,-118535806,1973,283915,96356,1,1,2,7,0
228,11179934,Northridge,Los Angeles,3,3,3,1534,4397,34276790,-118533165,1982,258537,96356,1,1,2,4,0
229,11179980,Northridge,Los Angeles,3,4,3,3273,10730,34280109,-118530007,1987,630064,96356,1,1,2,4,1
