,zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,cityid,countryid,zipcpde,units,airconditiontype,heatsystemtype,buildingquality,pools
49,11109137,3,3,3,2255,11981,34439683,-118530996,1953,371931,54311,3101,96373,1,1,2,4,1
50,11109552,2,3,2,1188,6439,34436558,-118521986,1964,50742,54311,3101,96373,1,0,2,7,0
51,11110220,2,3,2,1418,7576,34450969,-118504145,1966,282176,54311,3101,96373,1,0,2,7,0
52,11110343,2,4,2,1604,7376,34451989,-118500851,1966,157020,54311,3101,96373,1,0,2,7,0
53,11110735,1,2,1,834,125560,34452462,-118496660,1976,196000,54311,3101,96373,1,1,2,7,0
54,11110835,1,2,1,834,148023,34450903,-118498391,1977,91164,54311,3101,96373,1,1,2,7,0
55,11110965,2,3,2,2014,3614,34439279,-118534265,1975,274384,54311,3101,96377,1,1,2,7,0
56,11111065,3,3,3,2032,3743,34440588,-118533776,1975,255954,54311,3101,96377,1,1,2,7,0
57,11111357,2,3,2,1319,8653,34437717,-118537972,1978,126106,54311,3101,96377,1,1,2,7,0
58,11112415,3,4,3,1788,4742,34448888,-118551623,1996,509000,54311,3101,96377,1,1,2,4,0
59,11112538,3,3,3,1260,21251,34449962,-118554519,1995,360000,54311,3101,96377,1,1,2,4,0
60,11113058,3,4,3,2288,5117,34451206,-118542237,1996,396301,54311,3101,96377,1,1,2,4,1
61,11113150,4,5,4,2937,5550,34458954,-118543103,1997,520265,54311,3101,96377,1,1,2,4,0
62,11113196,4,5,4,2979,5061,34455197,-118541674,1997,452373,54311,3101,96377,1,1,2,4,0
63,11118316,2,4,2,1637,9388,34436338,-118535442,1973,223652,54311,3101,96377,1,1,2,7,1
64,11118659,3,3,3,1588,6889,34433601,-118552887,1989,503300,54311,3101,96377,1,1,2,4,1
65,11118759,2,2,2,1445,6959,34436747,-118553671,1992,399749,54311,3101,96377,1,1,2,4,0
66,11118859,3,3,3,1928,6848,34433174,-118546430,1989,527672,54311,3101,96377,1,1,2,4,1
67,11118959,3,3,3,1548,5583,34437003,-118546679,1990,275109,54311,3101,96377,1,1,2,4,0
68,11119082,2,2,2,1355,7999,34433309,-118550294,1989,383072,54311,3101,96377,1,1,2,4,1
69,11119720,3,4,3,2508,8368,34440699,-118539862,1994,489813,54311,3101,96377,1,1,2,4,1
70,11119843,3,3,3,1714,129992,34431174,-118548865,1996,443690,54311,3101,96377,1,1,2,4,0
71,11119943,3,2,3,1106,5903,34429500,-118550000,1995,208921,54311,3101,96377,1,1,2,4,0
73,11121609,2,3,2,1526,6688,34456595,-118499417,1978,404000,54311,3101,96373,1,1,2,4,0
75,11122047,3,4,3,2566,40122,34445258,-118496462,1984,383957,54311,3101,96373,1,1,2,4,0
76,11122147,3,4,3,2070,12220,34446074,-118502389,1986,489000,54311,3101,96373,1,1,2,4,0
77,11122316,3,4,3,2240,6678,34447151,-118490379,1983,384226,54311,3101,96373,1,1,2,4,0
78,11122339,2,3,2,1194,7866,34438183,-118485747,1984,216206,54311,3101,96374,1,1,2,4,0
79,11122439,2,3,2,1428,9928,34440165,-118483442,1984,335789,54311,3101,96374,1,1,2,4,0
84,11127413,4,4,4,3424,12466,34297102,-118547478,1966,746201,12447,3101,96356,1,1,2,4,1
85,11127513,3,4,3,2366,9513,34297609,-118542288,1966,128264,12447,3101,96356,1,1,2,4,0
87,11128812,3,3,3,1598,362718,34274900,-118550000,1980,446000,12447,3101,96356,1,1,2,4,1
88,11128912,3,2,3,1282,314954,34273900,-118550000,1983,348581,12447,3101,96356,1,1,2,4,1
89,11129135,3,5,3,2494,8698,34281919,-118550245,1974,147903,12447,3101,96356,1,1,2,4,0
90,11129235,3,4,3,2301,10470,34280352,-118548463,1974,510247,12447,3101,96356,1,1,2,4,1
91,11129335,3,4,3,2301,11327,34279011,-118549527,1975,429197,12447,3101,96356,1,1,2,4,1
92,11129435,2,3,2,1263,5956,34458130,-118534298,1977,166254,54311,3101,96377,1,1,2,7,0
93,11129481,3,3,3,1733,7082,34458872,-118535732,1983,323682,54311,3101,96377,1,1,2,7,0
94,11129581,2,3,2,1263,9700,34457181,-118538763,1983,399000,54311,3101,96377,1,1,2,7,0
95,11129781,2,4,2,1624,6047,34455077,-118536064,1979,164407,54311,3101,96377,1,1,2,7,0
96,11129904,2,4,2,1624,6597,34452251,-118539003,1978,357108,54311,3101,96377,1,1,2,7,0
97,11130004,2,3,2,1263,5738,34452181,-118535714,1978,352720,54311,3101,96377,1,1,2,7,0
98,11130142,2,3,2,1500,7993,34366575,-118554089,1966,443691,54311,3101,96352,1,0,2,7,0
99,11130365,3,4,3,2288,11249,34365578,-118548068,1979,282434,54311,3101,96352,1,1,2,4,0
100,11130464,3,3,3,1278,109001,34377633,-118560458,1979,212132,54311,3101,96352,1,1,2,4,0
101,11130487,2,2,2,988,398589,34377309,-118558682,1966,175890,54311,3101,96352,1,1,2,7,1
102,11130587,1,1,1,827,398589,34376457,-118557246,1966,178020,54311,3101,96352,1,1,2,7,0
103,11130656,2,3,2,2040,6655,34376238,-118560546,1976,226794,54311,3101,96352,1,1,2,7,0
120,11137387,3,4,3,3699,108010,34367907,-118531201,1964,1208347,54311,3101,96352,1,0,20,4,1
121,11137433,2,3,2,1600,9763,34370672,-118532185,1961,557380,54311,3101,96352,1,0,2,7,0
122,11137479,3,4,3,1929,12072,34369651,-118534454,1958,496422,54311,3101,96352,1,0,2,4,1
123,11137899,4,3,4,3140,6731,34359313,-118540192,1984,574574,54311,3101,96352,1,1,2,4,1
124,11137922,3,4,3,2930,15781,34359833,-118540056,1984,452538,54311,3101,96352,1,1,2,4,0
125,11137945,3,4,3,3059,11042,34364708,-118543351,1987,618000,54311,3101,96352,1,1,2,4,1
126,11137968,5,4,5,3757,8044,34365099,-118543328,1987,606769,54311,3101,96352,1,1,2,4,0
127,11139026,3,4,3,3409,9239,34376523,-118543667,1989,382273,54311,3101,96352,1,1,2,4,0
128,11139217,3,3,3,2540,12592,34373319,-118534610,1960,394535,54311,3101,96352,1,0,2,7,0
129,11139469,2,2,2,1606,8522,34372976,-118541841,1976,316323,54311,3101,96352,1,1,2,4,0
130,11139891,2,3,2,2816,19525,34371285,-118534727,1934,472570,54311,3101,96352,1,1,2,4,1
131,11140216,2,4,2,1716,4687,34378747,-118523434,1998,124248,54311,3101,96352,1,0,2,4,0
132,11140527,3,3,3,2138,22545,34383265,-118516036,1964,586076,54311,3101,96352,1,1,2,4,1
133,11140740,3,3,3,1265,181847,34368700,-118510000,1984,176769,54311,3101,96352,1,1,2,7,1
134,11141250,2,2,2,888,132272,34378100,-118511000,1990,215500,54311,3101,96352,1,1,2,4,0
135,11142135,3,4,3,2747,111446,34390528,-118524386,1980,724966,54311,3101,96352,1,1,2,4,0
136,11143129,2,2,2,925,231200,34402763,-118483611,1984,287531,54311,3101,96352,1,1,2,4,1
137,11143252,2,2,2,1419,516746,34404499,-118486053,1985,326393,54311,3101,96352,1,1,2,4,1
138,11143500,3,3,3,1466,426781,34406612,-118485933,1993,355487,54311,3101,96374,1,1,2,4,0
139,11143523,3,4,3,1882,462910,34417227,-118487253,1986,249061,54311,3101,96374,1,1,2,4,0
140,11143623,3,3,3,1471,200375,34416110,-118483558,1988,300888,54311,3101,96374,1,1,2,4,0
141,11143723,3,4,3,1882,453252,34414222,-118482891,1985,297132,54311,3101,96374,1,1,2,4,1
142,11144269,2,2,2,907,815788,34420900,-118489000,1988,224000,54311,3101,96374,1,1,2,4,0
143,11144392,2,2,2,910,815788,34420900,-118489000,1988,219919,54311,3101,96374,1,1,2,4,0
144,11144515,2,3,2,964,532639,34418400,-118489000,1988,130636,54311,3101,96374,1,1,2,4,1
145,11144615,2,2,2,910,532639,34418400,-118489000,1986,145330,54311,3101,96374,1,1,2,4,0
146,11144684,3,3,3,1635,7857,34402515,-118531118,1986,339657,54311,3101,96373,1,1,2,4,0
147,11144784,3,3,3,1635,9435,34401016,-118531902,1987,507700,54311,3101,96373,1,1,2,4,0
148,11144853,3,4,3,1877,6168,34400707,-118526823,1987,321502,54311,3101,96373,1,1,2,4,1
149,11144976,3,3,3,1505,3418,34398920,-118477858,1988,307289,54311,3101,96352,1,1,2,4,0
150,11145337,2,3,2,970,236712,34398300,-118482000,1989,247000,54311,3101,96352,1,1,2,4,0
151,11145414,2,2,2,964,461495,34416800,-118491000,1987,218274,54311,3101,96374,1,1,2,4,0
152,11145514,2,3,2,994,461495,34416800,-118491000,1989,154726,54311,3101,96374,1,1,2,4,0
153,11146618,2,3,2,1572,6857,34435901,-118404738,1968,161428,54311,3101,96401,1,1,2,7,1
154,11146864,3,4,3,2176,7037,34431890,-118404007,1968,470900,54311,3101,96401,1,1,2,7,0
155,11146987,3,4,3,1601,297252,34429086,-118413502,1982,284612,54311,3101,96401,1,1,2,4,0
156,11147110,3,3,3,1838,392023,34430554,-118411500,1983,273803,54311,3101,96401,1,1,2,4,0
157,11147210,2,3,2,944,335575,34431093,-118407997,1983,217216,54311,3101,96401,1,1,2,4,0
158,11147379,3,4,3,1911,157951,34435082,-118406036,1988,312505,54311,3101,96401,1,1,2,4,0
159,11147899,2,3,2,1125,130137,34424471,-118426441,1980,320000,54311,3101,96401,1,1,2,4,0
160,11147991,3,5,3,2354,8778,34428207,-118427825,1969,249050,54311,3101,96401,1,1,2,7,0
161,11148264,2,3,2,1479,12067,34430712,-118426662,1966,141308,54311,3101,96401,1,1,2,7,0
162,11148633,3,4,3,2217,20203,34426960,-118432878,1980,353541,54311,3101,96401,1,1,2,4,1
163,11148733,2,3,2,1348,66799,34433290,-118428880,1984,275810,54311,3101,96401,1,1,2,7,1
164,11152532,2,4,2,1400,10319,34400644,-118469283,1965,147591,54311,3101,96352,1,0,2,7,0
165,11152724,2,3,2,1192,7429,34395152,-118469636,1966,252924,54311,3101,96352,1,0,2,7,0
166,11152816,3,4,3,1844,11649,34396196,-118471445,1966,151677,54311,3101,96352,1,1,2,4,0
167,11153008,3,5,3,1862,9716,34392813,-118477679,1968,325439,54311,3101,96352,1,0,2,7,1
168,11153115,3,3,3,1132,125129,34402100,-118464000,1992,209143,54311,3101,96352,1,1,2,7,0
169,11153215,3,3,3,1176,112113,34402200,-118467000,1990,172440,54311,3101,96352,1,1,2,7,1
170,11153537,3,3,3,1176,111062,34403500,-118467000,1990,285594,54311,3101,96352,1,1,2,7,1
171,11154037,3,3,3,1268,91867,34415100,-118446000,1984,153907,54311,3101,96401,1,1,2,7,1
172,11154481,2,3,2,1556,8697,34421700,-118434605,1970,266625,54311,3101,96401,1,1,2,7,0
173,11154595,3,4,3,2151,11293,34422477,-118439459,1985,515000,54311,3101,96401,1,1,2,4,1
174,11154818,2,2,2,848,125051,34422400,-118449000,1984,200000,54311,3101,96401,1,1,2,7,1
175,11155418,3,3,3,1521,111809,34415100,-118447000,1984,270000,54311,3101,96401,1,1,2,7,1
176,11155518,3,2,3,1127,119805,34415000,-118449000,1985,141087,54311,3101,96401,1,1,2,7,1
177,11156078,2,2,2,1085,55080,34406300,-118452000,1993,181218,54311,3101,96401,1,1,2,7,0
179,11157205,5,5,5,4210,93204,34394303,-118409249,1981,1100400,54311,3101,96401,1,1,2,1,1
180,11157771,3,4,3,2211,7693,34442614,-118507951,1971,292080,54311,3101,96373,1,1,2,7,0
181,11157863,2,3,2,1546,3812,34442691,-118509611,1971,380000,54311,3101,96373,1,0,2,7,0
182,11158231,2,3,2,1188,5965,34430655,-118529998,1963,155361,54311,3101,96373,1,0,2,7,0
183,11159747,2,2,2,1041,676029,34389300,-118562000,1971,175807,54311,3101,96378,1,1,2,4,0
184,11159847,1,1,1,722,676029,34389300,-118562000,1977,158095,54311,3101,96378,1,1,2,4,0
185,11159947,2,2,2,1054,2176,34390032,-118559352,1975,327000,54311,3101,96378,1,1,2,4,0
186,11160223,3,5,3,2807,51591,34382159,-118557305,1977,305801,54311,3101,96378,1,1,2,4,1
187,11160505,2,3,2,1156,8489,34456677,-118388222,1974,167611,54311,3101,96401,1,1,2,7,1
188,11160780,2,3,2,1342,7760,34441932,-118388864,1996,250174,54311,3101,96401,1,1,2,4,0
189,11160872,2,3,2,1043,8567,34443408,-118392597,1969,173787,54311,3101,96401,1,0,2,7,0
190,11160972,2,4,2,1681,7215,34445547,-118396574,1970,368212,54311,3101,96401,1,0,2,7,0
191,11161095,2,4,2,1635,7196,34445456,-118392011,1969,448280,54311,3101,96401,1,1,2,7,1
192,11161202,2,4,2,1362,7335,34446705,-118389857,1973,382000,54311,3101,96401,1,0,2,7,0
193,11161225,2,3,2,1201,6705,34449298,-118388979,1978,295353,54311,3101,96401,1,1,2,7,0
194,11161663,3,4,3,2450,8562,34449812,-118394426,1989,368745,54311,3101,96401,1,1,2,4,0
195,11161763,3,3,3,1828,5152,34443803,-118388761,1992,442000,54311,3101,96401,1,1,2,4,1
196,11161909,3,4,3,2363,6077,34439149,-118386182,1996,396010,54311,3101,96401,1,1,2,4,1
197,11161955,3,4,3,2104,15517,34441973,-118383404,1997,375816,54311,3101,96401,1,1,2,4,0
198,11162101,3,5,3,2292,26948,34435289,-118381430,1998,425375,54311,3101,96401,1,1,2,4,0
199,11162865,2,4,2,1783,6154,34388737,-118537141,1954,316295,54311,3101,96352,1,0,7,7,0
200,11163046,2,3,2,1036,5539,34384280,-118534655,1932,293150,54311,3101,96352,2,0,2,7,0
201,11163183,1,2,1,1144,7387,34381755,-118536100,1956,228143,54311,3101,96352,1,0,7,7,0
202,11163942,2,3,2,1429,5782,34387033,-118545476,1968,294623,54311,3101,96378,1,1,2,7,0
203,11164241,3,5,3,2327,6694,34385932,-118555546,1968,555888,54311,3101,96378,1,1,2,4,1
204,11164571,2,4,2,1743,6419,34381133,-118554625,1968,338508,54311,3101,96378,1,1,2,7,0
205,11164694,2,3,2,1769,5815,34388307,-118550150,1972,393327,54311,3101,96378,1,1,2,4,0
206,11164840,2,3,2,1196,4931,34393443,-118557101,1976,365165,54311,3101,96378,1,1,2,7,0
207,11165032,4,6,4,2320,5763,34392876,-118552576,1969,175734,54311,3101,96378,1,1,2,4,0
208,11165055,3,4,3,2225,5729,34391884,-118551008,1973,550000,54311,3101,96378,1,1,2,4,0
209,11165224,3,4,3,2354,6483,34389767,-118552832,1975,367984,54311,3101,96378,1,1,2,4,1
210,11165247,3,3,3,2246,6180,34389113,-118555567,1976,166167,54311,3101,96378,1,1,2,4,1
211,11165393,2,3,2,1051,4806,34392786,-118558594,1976,313429,54311,3101,96378,1,1,2,7,0
212,11165653,2,3,2,1514,6344,34393843,-118549146,1974,227966,54311,3101,96378,1,1,2,7,0
213,11165799,2,3,2,1514,5643,34394365,-118547701,1971,271013,54311,3101,96378,1,1,2,7,1
214,11166160,2,2,2,1426,5689,34398760,-118542766,1974,71271,54311,3101,96378,1,1,2,7,0
215,11166260,2,3,2,1540,6691,34389280,-118543397,1977,371010,54311,3101,96378,1,1,2,4,0
216,11166890,2,3,2,1018,3478,34403236,-118541369,1979,339825,54311,3101,96378,1,1,2,7,0
217,11166990,2,2,2,864,4038,34402618,-118540679,1979,356992,54311,3101,96378,1,1,2,7,0
218,11167013,2,2,2,864,3591,34404466,-118543487,1982,356200,54311,3101,96378,1,1,2,7,0
219,11167205,2,4,2,1857,7110,34406150,-118547691,1984,313119,54311,3101,96378,1,1,2,4,1
220,11167351,3,4,3,2025,7047,34404274,-118544679,1982,349775,54311,3101,96378,1,1,2,4,0
221,11167497,2,3,2,1128,3360,34407542,-118541626,1984,354894,54311,3101,96378,1,1,2,7,0
222,11167932,2,4,2,1324,5531,34396464,-118557771,1978,302891,54311,3101,96378,1,1,2,4,0
223,11168039,3,3,3,1718,5728,34409047,-118550883,1984,398140,54311,3101,96378,1,1,2,4,0
224,11168185,2,2,2,864,3550,34410180,-118543165,1984,228999,54311,3101,96378,1,1,2,7,0
225,11168231,2,2,2,864,6765,34411665,-118545382,1985,238078,54311,3101,96378,1,1,2,7,0
226,11168331,2,3,2,1336,5040,34412284,-118547796,1985,357109,54311,3101,96378,1,1,2,4,0
227,11168354,2,3,2,1614,5523,34411098,-118547434,1985,545688,54311,3101,96378,1,1,2,4,0
228,11169022,2,3,2,1920,716115,34400700,-118562000,1989,376479,54311,3101,96378,1,1,2,4,0
229,11169122,2,3,2,1678,5187,34397662,-118563988,1986,437060,54311,3101,96378,1,1,2,4,0
230,11169482,2,2,2,940,531830,34412300,-118552000,1986,225740,54311,3101,96378,1,1,2,4,1
231,11169805,2,2,2,922,642861,34403000,-118553000,1988,280000,54311,3101,96378,1,1,2,4,1
232,11169905,2,2,2,922,642861,34403000,-118553000,1988,185196,54311,3101,96378,1,1,2,4,1
233,11169974,5,6,5,3648,8163,34407904,-118558857,1988,742954,54311,3101,96378,1,1,2,1,1
234,11170542,1,1,1,801,315437,34405000,-118557000,1988,206457,54311,3101,96378,1,1,2,4,0
235,11170742,2,2,2,925,842267,34410700,-118561000,1989,195765,54311,3101,96378,1,1,2,7,0
236,11170842,2,2,2,970,842267,34410700,-118561000,1989,198613,54311,3101,96378,1,1,2,7,0
237,11170988,2,2,2,1000,842267,34410700,-118561000,1989,285000,54311,3101,96378,1,1,2,7,0
238,11171088,1,1,1,835,842267,34410700,-118561000,1989,218300,54311,3101,96378,1,1,2,7,0
239,11171188,1,1,1,835,842267,34410700,-118561000,1989,218300,54311,3101,96378,1,1,2,7,0
240,11171288,2,2,2,1052,351525,34411900,-118563000,1989,159847,54311,3101,96378,1,1,2,4,1
241,11171388,1,2,1,1164,351525,34411900,-118563000,1989,153577,54311,3101,96378,1,1,2,4,1
242,11172709,2,2,2,864,353084,34404100,-118470000,1964,94057,54311,3101,96352,1,1,2,7,0
243,11172832,2,2,2,864,281364,34403500,-118472000,1963,150000,54311,3101,96352,1,1,2,7,0
244,11172955,2,2,2,864,507315,34402100,-118472000,1963,154000,54311,3101,96352,1,1,2,7,0
246,11173193,2,2,2,1178,572907,34403164,-118478734,1970,266794,54311,3101,96352,1,1,2,4,0
247,11173639,2,4,2,1969,9210,34406230,-118481464,1998,511000,54311,3101,96374,1,1,2,4,1
248,11173662,3,4,3,2243,9314,34407296,-118477276,1997,457000,54311,3101,96374,1,1,2,4,0
249,11174226,1,2,1,960,18036,34491179,-118622957,1948,302000,10734,3101,96398,1,0,2,7,0
250,11174249,3,3,3,1536,9874,34491133,-118620630,1962,223776,10734,3101,96398,1,0,7,7,0
251,11174415,2,3,2,1385,6549,34489987,-118626237,1981,194909,10734,3101,96398,1,1,2,7,0
252,11174761,3,3,3,1467,8230,34502730,-118628762,1987,250003,10734,3101,96398,1,1,2,7,1
253,11175217,2,3,2,1319,9314,34504125,-118629871,1986,196528,10734,3101,96398,1,1,2,7,0
254,11175340,3,3,3,1515,15798,34506383,-118635862,1987,380203,10734,3101,96398,1,1,2,7,0
255,11175463,2,3,2,1711,689611,34487810,-118630618,1988,322837,10734,3101,96398,1,1,2,4,0
256,11175486,3,3,3,1836,6963,34487467,-118635622,1989,404369,10734,3101,96398,1,1,2,4,0
257,11175586,3,3,3,2115,8273,34484222,-118636448,1989,391374,10734,3101,96398,1,1,2,4,1
258,11176055,3,5,3,2197,6118,34474327,-118626279,1995,450827,10734,3101,96398,1,1,2,4,0
259,11176178,3,3,3,1851,5171,34471224,-118628929,1995,317140,10734,3101,96398,1,1,2,4,0
260,11176301,3,4,3,2361,6274,34472767,-118630456,1998,405266,10734,3101,96398,1,1,2,4,0
261,11176478,3,4,3,2851,15461,34469977,-118634349,1998,409210,10734,3101,96398,1,1,2,4,1
262,11176647,2,3,2,2008,4302,34502766,-118617609,2000,435000,10734,3101,96398,1,1,2,4,0
263,11176816,2,4,2,2358,6344,34505298,-118623755,2000,358612,10734,3101,96398,1,1,2,4,0
264,11176839,3,4,3,2991,7454,34505454,-118619624,2000,404742,10734,3101,96398,1,1,2,4,0
265,11176862,4,5,4,3205,5270,34506680,-118622803,2000,537944,10734,3101,96398,1,1,2,4,0
266,11177658,3,4,3,1621,5559,34449372,-118618681,1986,437059,10734,3101,96398,1,1,2,4,1
267,11178147,3,3,3,1512,5140,34448580,-118621435,1987,214981,10734,3101,96398,1,1,2,4,0
268,11178193,3,3,3,1522,5115,34448704,-118618615,1986,244634,10734,3101,96398,1,1,2,4,0
269,11179711,3,4,3,2435,11146,34295078,-118540295,1969,432540,12447,3101,96356,1,1,2,4,1
270,11179811,2,3,2,1560,9953,34290531,-118535806,1973,283915,12447,3101,96356,1,1,2,7,0
271,11179934,3,3,3,1534,4397,34276790,-118533165,1982,258537,12447,3101,96356,1,1,2,4,0
272,11179980,3,4,3,3273,10730,34280109,-118530007,1987,630064,12447,3101,96356,1,1,2,4,1
273,11180080,4,5,4,4300,11012,34281695,-118532645,1986,671058,12447,3101,96356,1,1,2,4,1
274,11180303,3,4,3,3191,17446,34288979,-118534469,1984,489149,12447,3101,96356,1,1,2,4,1
275,11180464,3,4,3,2035,7856,34280970,-118541464,1972,489257,12447,3101,96356,1,1,2,4,0
276,11180587,2,3,2,1429,7668,34281412,-118541094,1972,412516,12447,3101,96356,1,1,2,7,0
277,11180687,2,3,2,1685,11551,34278549,-118537460,1973,115179,12447,3101,96356,1,1,2,7,0
278,11180910,3,5,3,2410,10940,34276066,-118538480,1965,693585,12447,3101,96356,1,1,2,4,1
279,11181056,3,4,3,2597,20664,34289413,-118549704,1976,231757,12447,3101,96356,1,1,2,4,1
280,11181754,2,3,2,2304,134079,34627974,-118197605,1983,310532,40227,3101,97329,1,1,2,7,0
281,11182400,2,3,2,1798,9774,34622333,-118212170,1986,172380,40227,3101,97329,1,1,2,7,0
282,11182500,2,3,2,1732,7471,34622958,-118215928,1987,187504,40227,3101,97329,1,1,2,7,0
283,11182769,3,5,3,2415,6621,34612725,-118187174,1989,251364,40227,3101,97329,1,1,2,4,0
284,11182869,3,3,3,2098,6635,34611923,-118188334,1994,294000,40227,3101,97329,1,1,2,4,1
285,11183061,2,3,2,1494,7622,34617154,-118215601,1989,58088,40227,3101,97329,1,1,2,4,0
286,11183476,2,3,2,1600,7127,34607414,-118182756,1991,159586,40227,3101,97329,1,1,2,4,0
287,11184045,3,4,3,2602,7016,34618732,-118185440,1990,233610,40227,3101,97329,1,1,2,4,0
288,11184145,2,3,2,1578,6583,34617957,-118206205,1990,231000,40227,3101,97329,1,1,2,4,0
289,11184245,3,4,3,2371,7586,34616134,-118185743,1992,283911,40227,3101,97329,1,1,2,4,1
290,11186936,2,3,2,1673,7442,34612596,-118184808,1992,58900,40227,3101,97329,1,1,2,4,0
