zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,yearbuilt,latitude,longitude,cityid,countyid,zipcpde,rooms,units,airconditiontype,heatsystemtype,buildingquality,pools,amount
11140527,3,3,3,2138,22545,1964,34383265,-118516036,54311,3101,96352,0,1,1,2,4,1,586076
11140740,3,3,3,1265,181847,1984,34368700,-118510000,54311,3101,96352,0,1,1,2,7,1,176769
11141250,2,2,2,888,132272,1990,34378100,-118511000,54311,3101,96352,0,1,1,2,4,,215500
11142135,3,4,3,2747,111446,1980,34390528,-118524386,54311,3101,96352,0,1,1,2,4,,724966
11143129,2,2,2,925,231200,1984,34402763,-118483611,54311,3101,96352,0,1,1,2,4,1,287531
11143252,2,2,2,1419,516746,1985,34404499,-118486053,54311,3101,96352,0,1,1,2,4,1,326393
11143500,3,3,3,1466,426781,1993,34406612,-118485933,54311,3101,96374,0,1,1,2,4,,355487
11143523,3,4,3,1882,462910,1986,34417227,-118487253,54311,3101,96374,0,1,1,2,4,,249061
11143623,3,3,3,1471,200375,1988,34416110,-118483558,54311,3101,96374,0,1,1,2,4,,300888
11143723,3,4,3,1882,453252,1985,34414222,-118482891,54311,3101,96374,0,1,1,2,4,1,297132
11144269,2,2,2,907,815788,1988,34420900,-118489000,54311,3101,96374,0,1,1,2,4,,224000
11144392,2,2,2,910,815788,1988,34420900,-118489000,54311,3101,96374,0,1,1,2,4,,219919
11144515,2,3,2,964,532639,1988,34418400,-118489000,54311,3101,96374,0,1,1,2,4,1,130636
11144615,2,2,2,910,532639,1986,34418400,-118489000,54311,3101,96374,0,1,1,2,4,,145330
11144684,3,3,3,1635,7857,1986,34402515,-118531118,54311,3101,96373,0,1,1,2,4,,339657
11144784,3,3,3,1635,9435,1987,34401016,-118531902,54311,3101,96373,0,1,1,2,4,,507700
11144853,3,4,3,1877,6168,1987,34400707,-118526823,54311,3101,96373,0,1,1,2,4,1,321502
11144976,3,3,3,1505,3418,1988,34398920,-118477858,54311,3101,96352,0,1,1,2,4,,307289
11145337,2,3,2,970,236712,1989,34398300,-118482000,54311,3101,96352,0,1,1,2,4,,247000
11145414,2,2,2,964,461495,1987,34416800,-118491000,54311,3101,96374,0,1,1,2,4,,218274
11145514,2,3,2,994,461495,1989,34416800,-118491000,54311,3101,96374,0,1,1,2,4,,154726
11146618,2,3,2,1572,6857,1968,34435901,-118404738,54311,3101,96401,0,1,1,2,7,1,161428
11146864,3,4,3,2176,7037,1968,34431890,-118404007,54311,3101,96401,0,1,1,2,7,,470900
11146987,3,4,3,1601,297252,1982,34429086,-118413502,54311,3101,96401,0,1,1,2,4,,284612
11147110,3,3,3,1838,392023,1983,34430554,-118411500,54311,3101,96401,0,1,1,2,4,,273803
11147210,2,3,2,944,335575,1983,34431093,-118407997,54311,3101,96401,0,1,1,2,4,,217216
11147379,3,4,3,1911,157951,1988,34435082,-118406036,54311,3101,96401,0,1,1,2,4,,312505
11147899,2,3,2,1125,130137,1980,34424471,-118426441,54311,3101,96401,0,1,1,2,4,,320000
11147991,3,5,3,2354,8778,1969,34428207,-118427825,54311,3101,96401,0,1,1,2,7,,249050
11148264,2,3,2,1479,12067,1966,34430712,-118426662,54311,3101,96401,0,1,1,2,7,,141308
11148633,3,4,3,2217,20203,1980,34426960,-118432878,54311,3101,96401,0,1,1,2,4,1,353541
11148733,2,3,2,1348,66799,1984,34433290,-118428880,54311,3101,96401,0,1,1,2,7,1,275810
11152532,2,4,2,1400,10319,1965,34400644,-118469283,54311,3101,96352,0,1,,2,7,,147591
11152724,2,3,2,1192,7429,1966,34395152,-118469636,54311,3101,96352,0,1,,2,7,,252924
11152816,3,4,3,1844,11649,1966,34396196,-118471445,54311,3101,96352,0,1,1,2,4,,151677
11153008,3,5,3,1862,9716,1968,34392813,-118477679,54311,3101,96352,0,1,,2,7,1,325439
11153115,3,3,3,1132,125129,1992,34402100,-118464000,54311,3101,96352,0,1,1,2,7,,209143
11153215,3,3,3,1176,112113,1990,34402200,-118467000,54311,3101,96352,0,1,1,2,7,1,172440
11153537,3,3,3,1176,111062,1990,34403500,-118467000,54311,3101,96352,0,1,1,2,7,1,285594
11154037,3,3,3,1268,91867,1984,34415100,-118446000,54311,3101,96401,0,1,1,2,7,1,153907
11154481,2,3,2,1556,8697,1970,34421700,-118434605,54311,3101,96401,0,1,1,2,7,,266625
11154595,3,4,3,2151,11293,1985,34422477,-118439459,54311,3101,96401,0,1,1,2,4,1,515000
11154818,2,2,2,848,125051,1984,34422400,-118449000,54311,3101,96401,0,1,1,2,7,1,200000
11155418,3,3,3,1521,111809,1984,34415100,-118447000,54311,3101,96401,0,1,1,2,7,1,270000
11155518,3,2,3,1127,119805,1985,34415000,-118449000,54311,3101,96401,0,1,1,2,7,1,141087
11156078,2,2,2,1085,55080,1993,34406300,-118452000,54311,3101,96401,0,1,1,2,7,,181218
11156524,2,2,2,1120,2398,1948,34314416,-118370287,,3101,96368,0,1,1,2,7,,97256
11157205,5,5,5,4210,93204,1981,34394303,-118409249,54311,3101,96401,0,1,1,2,1,1,1100400
11157771,3,4,3,2211,7693,1971,34442614,-118507951,54311,3101,96373,0,1,1,2,7,,292080
11157863,2,3,2,1546,3812,1971,34442691,-118509611,54311,3101,96373,0,1,,2,7,,380000
11158231,2,3,2,1188,5965,1963,34430655,-118529998,54311,3101,96373,0,1,,2,7,,155361
11159747,2,2,2,1041,676029,1971,34389300,-118562000,54311,3101,96378,0,1,1,2,4,,175807
11159847,1,1,1,722,676029,1977,34389300,-118562000,54311,3101,96378,0,1,1,2,4,,158095
11159947,2,2,2,1054,2176,1975,34390032,-118559352,54311,3101,96378,0,1,1,2,4,,327000
11160223,3,5,3,2807,51591,1977,34382159,-118557305,54311,3101,96378,0,1,1,2,4,1,305801
11160505,2,3,2,1156,8489,1974,34456677,-118388222,54311,3101,96401,0,1,1,2,7,1,167611
11160780,2,3,2,1342,7760,1996,34441932,-118388864,54311,3101,96401,0,1,1,2,4,,250174
11160872,2,3,2,1043,8567,1969,34443408,-118392597,54311,3101,96401,0,1,,2,7,,173787
11160972,2,4,2,1681,7215,1970,34445547,-118396574,54311,3101,96401,0,1,,2,7,,368212
11161095,2,4,2,1635,7196,1969,34445456,-118392011,54311,3101,96401,0,1,1,2,7,1,448280
11161202,2,4,2,1362,7335,1973,34446705,-118389857,54311,3101,96401,0,1,,2,7,,382000
11161225,2,3,2,1201,6705,1978,34449298,-118388979,54311,3101,96401,0,1,1,2,7,,295353
11161663,3,4,3,2450,8562,1989,34449812,-118394426,54311,3101,96401,0,1,1,2,4,,368745
11161763,3,3,3,1828,5152,1992,34443803,-118388761,54311,3101,96401,0,1,1,2,4,1,442000
11161909,3,4,3,2363,6077,1996,34439149,-118386182,54311,3101,96401,0,1,1,2,4,1,396010
11161955,3,4,3,2104,15517,1997,34441973,-118383404,54311,3101,96401,0,1,1,2,4,,375816
11162101,3,5,3,2292,26948,1998,34435289,-118381430,54311,3101,96401,0,1,1,2,4,,425375
11162865,2,4,2,1783,6154,1954,34388737,-118537141,54311,3101,96352,0,1,,7,7,,316295
11163046,2,3,2,1036,5539,1932,34384280,-118534655,54311,3101,96352,0,2,,,7,,293150
11163183,1,2,1,1144,7387,1956,34381755,-118536100,54311,3101,96352,0,1,,7,7,,228143
11163942,2,3,2,1429,5782,1968,34387033,-118545476,54311,3101,96378,0,1,1,2,7,,294623
11164241,3,5,3,2327,6694,1968,34385932,-118555546,54311,3101,96378,0,1,1,2,4,1,555888
11164571,2,4,2,1743,6419,1968,34381133,-118554625,54311,3101,96378,0,1,1,2,7,,338508
11164694,2,3,2,1769,5815,1972,34388307,-118550150,54311,3101,96378,0,1,1,2,4,,393327
11164840,2,3,2,1196,4931,1976,34393443,-118557101,54311,3101,96378,0,1,1,2,7,,365165
11165032,4,6,4,2320,5763,1969,34392876,-118552576,54311,3101,96378,0,1,1,2,4,,175734
11165055,3,4,3,2225,5729,1973,34391884,-118551008,54311,3101,96378,0,1,1,2,4,,550000
11165224,3,4,3,2354,6483,1975,34389767,-118552832,54311,3101,96378,0,1,1,2,4,1,367984
11165247,3,3,3,2246,6180,1976,34389113,-118555567,54311,3101,96378,0,1,1,2,4,1,166167
11165393,2,3,2,1051,4806,1976,34392786,-118558594,54311,3101,96378,0,1,1,2,7,,313429
11165653,2,3,2,1514,6344,1974,34393843,-118549146,54311,3101,96378,0,1,1,2,7,,227966
11165799,2,3,2,1514,5643,1971,34394365,-118547701,54311,3101,96378,0,1,1,2,7,1,271013
11166160,2,2,2,1426,5689,1974,34398760,-118542766,54311,3101,96378,0,1,1,2,7,,71271
11166260,2,3,2,1540,6691,1977,34389280,-118543397,54311,3101,96378,0,1,1,2,4,,371010
11166890,2,3,2,1018,3478,1979,34403236,-118541369,54311,3101,96378,0,1,1,2,7,,339825
11166990,2,2,2,864,4038,1979,34402618,-118540679,54311,3101,96378,0,1,1,2,7,,356992
11167013,2,2,2,864,3591,1982,34404466,-118543487,54311,3101,96378,0,1,1,2,7,,356200
11167205,2,4,2,1857,7110,1984,34406150,-118547691,54311,3101,96378,0,1,1,2,4,1,313119
11167351,3,4,3,2025,7047,1982,34404274,-118544679,54311,3101,96378,0,1,1,2,4,,349775
11167497,2,3,2,1128,3360,1984,34407542,-118541626,54311,3101,96378,0,1,1,2,7,,354894
11167932,2,4,2,1324,5531,1978,34396464,-118557771,54311,3101,96378,0,1,1,2,4,,302891
11168039,3,3,3,1718,5728,1984,34409047,-118550883,54311,3101,96378,0,1,1,2,4,,398140
11168185,2,2,2,864,3550,1984,34410180,-118543165,54311,3101,96378,0,1,1,2,7,,228999
11168231,2,2,2,864,6765,1985,34411665,-118545382,54311,3101,96378,0,1,1,2,7,,238078
11168331,2,3,2,1336,5040,1985,34412284,-118547796,54311,3101,96378,0,1,1,2,4,,357109
11168354,2,3,2,1614,5523,1985,34411098,-118547434,54311,3101,96378,0,1,1,2,4,,545688
11169022,2,3,2,1920,716115,1989,34400700,-118562000,54311,3101,96378,0,1,1,2,4,,376479
11169122,2,3,2,1678,5187,1986,34397662,-118563988,54311,3101,96378,0,1,1,2,4,,437060
11169482,2,2,2,940,531830,1986,34412300,-118552000,54311,3101,96378,0,1,1,2,4,1,225740
11169805,2,2,2,922,642861,1988,34403000,-118553000,54311,3101,96378,0,1,1,2,4,1,280000
11169905,2,2,2,922,642861,1988,34403000,-118553000,54311,3101,96378,0,1,1,2,4,1,185196
11169974,5,6,5,3648,8163,1988,34407904,-118558857,54311,3101,96378,0,1,1,2,1,1,742954
11170542,1,1,1,801,315437,1988,34405000,-118557000,54311,3101,96378,0,1,1,2,4,,206457
11170742,2,2,2,925,842267,1989,34410700,-118561000,54311,3101,96378,0,1,1,2,7,,195765
11170842,2,2,2,970,842267,1989,34410700,-118561000,54311,3101,96378,0,1,1,2,7,,198613
11170988,2,2,2,1000,842267,1989,34410700,-118561000,54311,3101,96378,0,1,1,2,7,,285000
11171088,1,1,1,835,842267,1989,34410700,-118561000,54311,3101,96378,0,1,1,2,7,,218300
11171188,1,1,1,835,842267,1989,34410700,-118561000,54311,3101,96378,0,1,1,2,7,,218300
11171288,2,2,2,1052,351525,1989,34411900,-118563000,54311,3101,96378,0,1,1,2,4,1,159847
11171388,1,2,1,1164,351525,1989,34411900,-118563000,54311,3101,96378,0,1,1,2,4,1,153577
11172709,2,2,2,864,353084,1964,34404100,-118470000,54311,3101,96352,0,1,1,2,7,,94057
11172832,2,2,2,864,281364,1963,34403500,-118472000,54311,3101,96352,0,1,1,2,7,,150000
11172955,2,2,2,864,507315,1963,34402100,-118472000,54311,3101,96352,0,1,1,2,7,,154000
11173078,0,0,,158,507315,1963,34402069,-118470708,54311,3101,96352,0,1,,,,,892
11173193,2,2,2,1178,572907,1970,34403164,-118478734,54311,3101,96352,0,1,1,2,4,,266794
11173639,2,4,2,1969,9210,1998,34406230,-118481464,54311,3101,96374,0,1,1,2,4,1,511000
11173662,3,4,3,2243,9314,1997,34407296,-118477276,54311,3101,96374,0,1,1,2,4,,457000
11174226,1,2,1,960,18036,1948,34491179,-118622957,10734,3101,96398,0,1,,,7,,302000
11174249,3,3,3,1536,9874,1962,34491133,-118620630,10734,3101,96398,0,1,,7,7,,223776
11174415,2,3,2,1385,6549,1981,34489987,-118626237,10734,3101,96398,0,1,1,2,7,,194909
11174761,3,3,3,1467,8230,1987,34502730,-118628762,10734,3101,96398,0,1,1,2,7,1,250003
11175217,2,3,2,1319,9314,1986,34504125,-118629871,10734,3101,96398,0,1,1,2,7,,196528
11175340,3,3,3,1515,15798,1987,34506383,-118635862,10734,3101,96398,0,1,1,2,7,,380203
11175463,2,3,2,1711,689611,1988,34487810,-118630618,10734,3101,96398,0,1,1,2,4,,322837
11175486,3,3,3,1836,6963,1989,34487467,-118635622,10734,3101,96398,0,1,1,2,4,,404369
11175586,3,3,3,2115,8273,1989,34484222,-118636448,10734,3101,96398,0,1,1,2,4,1,391374
11176055,3,5,3,2197,6118,1995,34474327,-118626279,10734,3101,96398,0,1,1,2,4,,450827
11176178,3,3,3,1851,5171,1995,34471224,-118628929,10734,3101,96398,0,1,1,2,4,,317140
11176301,3,4,3,2361,6274,1998,34472767,-118630456,10734,3101,96398,0,1,1,2,4,,405266
11176478,3,4,3,2851,15461,1998,34469977,-118634349,10734,3101,96398,0,1,1,2,4,1,409210
11176647,2,3,2,2008,4302,2000,34502766,-118617609,10734,3101,96398,0,1,1,2,4,,435000
11176816,2,4,2,2358,6344,2000,34505298,-118623755,10734,3101,96398,0,1,1,2,4,,358612
11176839,3,4,3,2991,7454,2000,34505454,-118619624,10734,3101,96398,0,1,1,2,4,,404742
11176862,4,5,4,3205,5270,2000,34506680,-118622803,10734,3101,96398,0,1,1,2,4,,537944
11177658,3,4,3,1621,5559,1986,34449372,-118618681,10734,3101,96398,0,1,1,2,4,1,437059
11178147,3,3,3,1512,5140,1987,34448580,-118621435,10734,3101,96398,0,1,1,2,4,,214981
11178193,3,3,3,1522,5115,1986,34448704,-118618615,10734,3101,96398,0,1,1,2,4,,244634
11179711,3,4,3,2435,11146,1969,34295078,-118540295,12447,3101,96356,0,1,1,2,4,1,432540
11179811,2,3,2,1560,9953,1973,34290531,-118535806,12447,3101,96356,0,1,1,2,7,,283915
